Metric,Group,N,Mean,SD
Authentic,AI-Label,33009,50.061505,34.174680
Authentic,No-Label,8239,50.335939,34.655390
Tone,AI-Label,33735,69.313887,36.143777
Tone,No-Label,8404,75.261220,33.248223
WPS,AI-Label,39982,13.846995,12.236752
WPS,No-Label,9757,13.687661,11.243960
BigWords,AI-Label,39982,16.813068,14.398442
BigWords,No-Label,9757,16.948143,13.396939
Cognition,AI-Label,39982,20.751317,12.700973
Cognition,No-Label,9757,20.511766,12.011790
Affect,AI-Label,39982,12.511362,16.480759
Affect,No-Label,9757,11.876504,13.711778
tone_pos,AI-Label,39982,9.921264,15.779605
tone_pos,No-Label,9757,9.661875,13.021144
tone_neg,AI-Label,39982,2.179960,5.887641
tone_neg,No-Label,9757,1.804120,4.556868
emo_pos,AI-Label,39982,5.194385,13.475300
emo_pos,No-Label,9757,4.481632,10.564980
emo_neg,AI-Label,39982,1.030084,4.561555
emo_neg,No-Label,9757,0.773334,3.600929
