Metric,Mean_AI,Mean_NoLabel,Diff,CI_low,CI_high,p,SD_AI,SD_NoLabel,N_AI,N_NoLabel,AI_CI_low,AI_CI_high,NoLabel_CI_low,NoLabel_CI_high
Authentic,50.061505,50.335939,-0.274434,-1.109057,0.574543,0.745200,34.174680,34.655390,33009,8239,49.687576,50.435670,49.588871,51.089335
Tone,69.313887,75.261220,-5.947333,-6.763866,-5.135876,1.000000,36.143777,33.248223,33735,8404,68.921569,69.701596,74.557842,75.962324
WPS,13.846995,13.687661,0.159334,-0.100908,0.403068,0.110500,12.236752,11.243960,39982,9757,13.726677,13.967686,13.474331,13.916133
BigWords,16.813068,16.948143,-0.135074,-0.431264,0.167544,0.809200,14.398442,13.396939,39982,9757,16.674515,16.952222,16.681763,17.209966
Cognition,20.751317,20.511766,0.239551,-0.033564,0.499635,0.040000,12.700973,12.011790,39982,9757,20.628581,20.876809,20.279699,20.753175
Affect,12.511362,11.876504,0.634858,0.316886,0.948721,0.000200,16.480759,13.711778,39982,9757,12.347747,12.674196,11.606226,12.156855
tone_pos,9.921264,9.661875,0.259390,-0.050262,0.547705,0.045300,15.779605,13.021144,39982,9757,9.767996,10.073619,9.411607,9.924835
tone_neg,2.179960,1.804120,0.375840,0.267684,0.480919,0.000000,5.887641,4.556868,39982,9757,2.121993,2.237606,1.717077,1.896590
emo_pos,5.194385,4.481632,0.712754,0.462771,0.961217,0.000000,13.475300,10.564980,39982,9757,5.062632,5.326664,4.269165,4.691192
emo_neg,1.030084,0.773334,0.256750,0.170570,0.339539,0.000000,4.561555,3.600929,39982,9757,0.985184,1.075597,0.705056,0.847147
