scope,sentiment,category,review_count_sum
AI-Label,negative,strict_core,1762
AI-Label,negative,tech,1577
AI-Label,negative,quality,1305
AI-Label,negative,human,281
AI-Label,negative,ethics,139
AI-Label,positive,strict_core,2107
AI-Label,positive,tech,2007
AI-Label,positive,quality,1034
AI-Label,positive,human,780
AI-Label,positive,ethics,143
No AI-Label,negative,quality,121
No AI-Label,negative,tech,90
No AI-Label,negative,strict_core,85
No AI-Label,negative,human,18
No AI-Label,negative,ethics,11
No AI-Label,positive,human,158
No AI-Label,positive,tech,139
No AI-Label,positive,quality,136
No AI-Label,positive,strict_core,116
No AI-Label,positive,ethics,30
overall,negative,strict_core,1850
overall,negative,tech,1672
overall,negative,quality,1431
overall,negative,human,309
overall,negative,ethics,153
overall,positive,strict_core,2231
overall,positive,tech,2148
overall,positive,quality,1175
overall,positive,human,946
overall,positive,ethics,181
