scope,sentiment,n_reviews,n_games,n_reviews_with_ai_terms,ai_term_review_share_pct,n_keywords_nonzero,n_keywords_after_min_freq,min_doc_frequency,visualization,top_terms_csv,output_image
Group 1 (Native AI),negative,6606,424,1717,25.992,47,39,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_1_native_ai_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_1_native_ai_negative.png
Group 1 (Native AI),positive,24987,421,2479,9.921,43,36,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_1_native_ai_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_1_native_ai_positive.png
Group 2 (AI Added - Historic),negative,590,14,109,18.475,8,7,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_2_ai_added_historic_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_2_ai_added_historic_negative.png
Group 2 (AI Added - Historic),positive,480,6,75,15.625,10,5,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_2_ai_added_historic_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_2_ai_added_historic_positive.png
Group 2 (AI Added - Recent),negative,2124,101,405,19.068,35,18,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_2_ai_added_recent_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_2_ai_added_recent_negative.png
Group 2 (AI Added - Recent),positive,6646,101,543,8.17,31,23,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_2_ai_added_recent_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_2_ai_added_recent_positive.png
Group 3 (Control / No AI),negative,867,101,100,11.534,22,10,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_3_control_no_ai_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_3_control_no_ai_negative.png
Group 3 (Control / No AI),positive,7853,101,362,4.61,28,16,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_group_3_control_no_ai_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_group_3_control_no_ai_positive.png
overall,negative,10187,626,2331,22.882,48,41,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_overall_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_overall_negative.png
overall,positive,39966,623,3459,8.655,46,39,5,bar_fallback,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_top_terms_overall_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/ai_focus_wordcloud_overall_positive.png
