word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
shit,202,0,6404,24987,0.030578262185891613,0.0,202,1580.1292060270123,10.625826816022135,768.9757307345334,3.002358243713819e-169,6606,24987,negative,1.7912069281996643e-165,True
refund,249,41,6357,24946,0.037693006357856496,0.0016408532436867171,290,23.59096503986848,4.560162531258525,746.6584909655509,2.137805032539443e-164,6606,24987,negative,6.3770724120651585e-161,True
boring,400,262,6206,24725,0.060551014229488345,0.010485452435266338,662,6.078151707311459,2.603632684181445,638.3660630004252,7.573527213805866e-141,6606,24987,negative,1.5061221119188598e-137,True
slop,250,82,6356,24905,0.037844383893430214,0.0032817064873734343,332,11.896822865642184,3.572504437498338,600.2295316703553,1.4923616623067108e-132,6606,24987,negative,2.225857419330459e-129,True
money,634,735,5972,24252,0.09597335755373902,0.029415295953896026,1369,3.5030739404687075,1.8086214398732678,558.32811238194,1.942279689014856e-123,6606,24987,negative,2.317528124932526e-120,True
why,500,590,6106,24397,0.07568876778686043,0.023612278384760075,1090,3.3863913419945835,1.7597487052273202,425.3612273671044,1.6616100544488245e-94,6606,24987,negative,1.652194264140281e-91,True
waste,209,99,6397,24888,0.03163790493490766,0.003962060271341097,308,8.191234798454955,3.034080949220147,414.53236730797573,3.78058984399765e-92,6606,24987,negative,3.222142715612855e-89,True
unplayable,162,47,6444,24940,0.02452316076294278,0.0018809781086164806,209,13.239624976009734,3.7267903520088006,407.59190628503796,1.2254916215167911e-90,6606,24987,negative,9.13910376746147e-88,True
until,419,457,6187,24530,0.06342718740538904,0.018289510545483653,876,3.6352313517690567,1.8620471824196623,394.8562857472978,7.255619670348704e-88,6606,24987,negative,4.8096696614778187e-85,True
terrible,196,93,6410,24894,0.02966999697244929,0.003721935406411334,289,8.161358349666136,3.028809289603189,388.1107886689477,2.1338475206326808e-86,6606,24987,negative,1.2730534308094574e-83,True
anything,470,570,6136,24417,0.0711474417196488,0.02281186216832753,1040,3.281590885931103,1.714395390092196,383.43364204124975,2.2254207990106403e-85,6606,24987,negative,1.2069873169906801e-82,True
because,929,1673,5677,23314,0.1406297305479867,0.06695481650458238,2602,2.280828550104413,1.1895580033310944,375.242776854267,1.351140313178638e-83,6606,24987,negative,6.717419257019795e-81,True
state,274,234,6332,24753,0.04147744474719951,0.009364869732260776,508,4.575735557169878,2.1940036776880665,340.5487050762614,4.845880256821415e-76,6606,24987,negative,2.223886277861274e-73,True
worse,164,76,6442,24911,0.02482591583409022,0.0030415816224436706,240,8.314763835944415,3.0556752872587367,328.8832776644557,1.682721344138169e-73,6606,24987,negative,7.1707968136630834e-71,True
