direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,shit,278,278,0,3.18,0.0,2084.574,11.026,1014.314,9.574741643532735e-219,True
negative-leaning,boring,790,496,294,5.68,0.93,6.416,2.682,805.178,1.3912625744111662e-173,True
negative-leaning,money,1744,854,890,9.78,2.81,3.745,1.905,803.733,1.912206079556141e-173,True
negative-leaning,refund,418,327,91,3.75,0.29,13.435,3.748,798.283,2.1953909205478272e-172,True
negative-leaning,slop,410,306,104,3.51,0.33,10.977,3.456,686.548,3.469346497009053e-148,True
negative-leaning,waste,405,286,119,3.28,0.38,8.947,3.161,579.21,6.395719404667587e-125,True
negative-leaning,unplayable,270,215,55,2.46,0.17,14.399,3.848,539.462,2.4304494255664376e-116,True
negative-leaning,terrible,386,270,116,3.09,0.37,8.65,3.113,536.806,8.044385839536902e-116,True
negative-leaning,worse,349,247,102,2.83,0.32,8.975,3.166,501.61,3.2478009816612254e-108,True
negative-leaning,anything,1264,591,673,6.77,2.13,3.341,1.74,486.048,7.110060601084073e-105,True
negative-leaning,why,1343,614,729,7.03,2.3,3.207,1.681,475.611,1.2069450920834091e-102,True
negative-leaning,garbage,253,196,57,2.25,0.18,12.644,3.66,468.36,4.184837677317788e-101,True
negative-leaning,because,3281,1198,2083,13.72,6.58,2.257,1.174,466.777,8.538432726412645e-101,True
negative-leaning,until,1103,510,593,5.84,1.87,3.248,1.7,405.137,2.0639747559801306e-87,True
negative-leaning,buy,1643,682,961,7.81,3.04,2.705,1.436,399.358,3.4907529939416876e-86,True
negative-leaning,bad,2134,820,1314,9.39,4.15,2.392,1.258,375.015,6.521559912763309e-81,True
negative-leaning,worst,388,236,152,2.7,0.48,5.747,2.523,355.077,1.3467018208650536e-76,True
negative-leaning,poor,287,193,94,2.21,0.3,7.564,2.919,354.877,1.405959031800165e-76,True
negative-leaning,awful,177,141,36,1.62,0.11,14.261,3.834,353.211,3.072307116491915e-76,True
negative-leaning,half,555,301,254,3.45,0.8,4.41,2.141,352.94,3.3433988423931496e-76,True
negative-leaning,fucking,97,97,0,1.11,0.0,714.488,9.481,352.324,4.3346658234619795e-76,True
negative-leaning,fuck,90,90,0,1.03,0.0,662.654,9.372,326.842,1.466798572935123e-70,True
negative-leaning,servers,209,152,57,1.74,0.18,9.762,3.287,323.616,7.016782512520708e-70,True
negative-leaning,literally,530,284,246,3.25,0.78,4.289,2.101,323.548,7.016782512520708e-70,True
negative-leaning,fix,717,349,368,4.0,1.16,3.538,1.823,315.015,4.863803832778773e-68,True
negative-leaning,reason,699,341,358,3.91,1.13,3.551,1.828,309.446,7.642905781483813e-67,True
negative-leaning,state,648,322,326,3.69,1.03,3.678,1.879,305.966,4.0652661865573253e-66,True
negative-leaning,amazon,141,115,26,1.32,0.08,15.99,3.999,299.821,8.561360214109902e-65,True
negative-leaning,cannot,719,344,375,3.94,1.19,3.42,1.774,296.8,3.7677702905954074e-64,True
negative-leaning,horrible,217,151,66,1.73,0.21,8.382,3.067,296.012,5.414866569397415e-64,True
negative-leaning,broken,373,216,157,2.47,0.5,5.082,2.345,292.342,3.3067579006247594e-63,True
negative-leaning,completely,740,349,391,4.0,1.24,3.328,1.735,289.934,1.073227644295107e-62,True
negative-leaning,sucks,272,174,98,1.99,0.31,6.529,2.707,289.639,1.2074030613393528e-62,True
negative-leaning,stupid,275,174,101,1.99,0.32,6.336,2.663,283.282,2.848063597815461e-61,True
negative-leaning,crashes,286,175,111,2.0,0.35,5.799,2.536,265.938,1.66744723139202e-57,True
negative-leaning,poorly,235,152,83,1.74,0.26,6.717,2.748,258.467,6.715523981514163e-56,True
negative-leaning,again,1595,602,993,6.9,3.14,2.286,1.193,254.391,5.062004910918481e-55,True
negative-leaning,point,1549,588,961,6.74,3.04,2.306,1.205,253.453,7.902887998216183e-55,True
negative-leaning,ruined,121,98,23,1.12,0.07,15.348,3.94,252.309,1.3690378853923022e-54,True
negative-leaning,generative,126,100,26,1.15,0.08,13.889,3.796,248.565,8.756345072847947e-54,True
positive-leaning,fun,8098,1170,6928,13.4,21.9,0.552,-0.857,308.16,1.4025403460348477e-66,True
positive-leaning,love,3709,415,3294,4.75,10.41,0.43,-1.218,262.609,8.628761532948211e-57,True
positive-leaning,great,4653,608,4045,6.96,12.79,0.511,-0.969,227.445,3.086311746053446e-49,True
positive-leaning,best,2411,250,2161,2.86,6.83,0.403,-1.312,191.78,1.4681723434126847e-41,True
positive-leaning,atmosphere,1194,76,1118,0.87,3.53,0.241,-2.052,169.11,1.0225502716889485e-36,True
