direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,bad,168,157,11,26.61,2.29,14.833,3.891,118.259,8.063903248252587e-25,True
negative-leaning,sure,115,99,16,16.78,3.33,5.699,2.511,49.887,2.8779017045985594e-10,True
negative-leaning,level,73,67,6,11.36,1.25,9.413,3.235,42.522,4.1162364015786985e-09,True
negative-leaning,moment,40,40,0,6.78,0.0,70.7,6.144,33.806,1.5366453295190522e-07,True
negative-leaning,tried,40,40,0,6.78,0.0,70.7,6.144,33.806,1.5366453295190522e-07,True
negative-leaning,sorry,38,38,0,6.44,0.0,66.966,6.065,32.054,3.4559780068087244e-07,True
negative-leaning,pay,41,40,1,6.78,0.21,23.518,4.556,31.016,5.023743041477338e-07,True
negative-leaning,either,36,36,0,6.1,0.0,63.258,5.983,30.308,6.532021218825355e-07,True
negative-leaning,enemy,36,36,0,6.1,0.0,63.258,5.983,30.308,6.532021218825355e-07,True
negative-leaning,price,125,97,28,16.44,5.83,3.137,1.649,28.863,1.0488607676445568e-06,True
negative-leaning,recommend,158,118,40,20.0,8.33,2.728,1.448,28.623,1.136539237022146e-06,True
negative-leaning,generally,34,34,0,5.76,0.0,59.577,5.897,28.569,1.1411032472247788e-06,True
negative-leaning,use,84,69,15,11.69,3.12,4.002,2.001,26.87,2.301004397575442e-06,True
negative-leaning,scene,32,32,0,5.42,0.0,55.922,5.805,26.836,2.301004397575442e-06,True
negative-leaning,somewhere,32,32,0,5.42,0.0,55.922,5.805,26.836,2.301004397575442e-06,True
negative-leaning,waste,32,32,0,5.42,0.0,55.922,5.805,26.836,2.301004397575442e-06,True
negative-leaning,left,60,52,8,8.81,1.67,5.419,2.438,25.541,4.014161965936798e-06,True
negative-leaning,years,63,54,9,9.15,1.88,5.042,2.334,25.297,4.4139269260529555e-06,True
negative-leaning,proper,29,29,0,4.92,0.0,50.489,5.658,24.25,6.5927453044369915e-06,True
negative-leaning,certainly,29,29,0,4.92,0.0,50.489,5.658,24.25,6.5927453044369915e-06,True
negative-leaning,repetitive,33,32,1,5.42,0.21,18.602,4.217,24.086,7.077666993180377e-06,True
negative-leaning,idea,61,52,9,8.81,1.88,4.839,2.275,23.703,8.393023961781568e-06,True
negative-leaning,mixed,40,37,3,6.27,0.62,9.243,3.208,23.447,9.451088560756644e-06,True
negative-leaning,friend,32,31,1,5.25,0.21,17.997,4.17,23.228,1.0306616640937804e-05,True
negative-leaning,minutes,32,31,1,5.25,0.21,17.997,4.17,23.228,1.0306616640937804e-05,True
negative-leaning,damage,27,27,0,4.58,0.0,46.899,5.551,22.535,1.3503740510665319e-05,True
negative-leaning,pull,27,27,0,4.58,0.0,46.899,5.551,22.535,1.3503740510665319e-05,True
negative-leaning,last,27,27,0,4.58,0.0,46.899,5.551,22.535,1.3503740510665319e-05,True
negative-leaning,fantasy,27,27,0,4.58,0.0,46.899,5.551,22.535,1.3503740510665319e-05,True
negative-leaning,half,31,30,1,5.08,0.21,17.395,4.121,22.372,1.4520072599585967e-05,True
negative-leaning,going,62,52,10,8.81,2.08,4.369,2.127,21.963,1.7752642819194093e-05,True
negative-leaning,available,34,32,2,5.42,0.42,11.138,3.477,21.568,2.057071879608819e-05,True
negative-leaning,came,34,32,2,5.42,0.42,11.138,3.477,21.568,2.057071879608819e-05,True
negative-leaning,room,34,32,2,5.42,0.42,11.138,3.477,21.568,2.057071879608819e-05,True
negative-leaning,thought,55,47,8,7.97,1.67,4.858,2.28,21.54,2.063265678857235e-05,True
negative-leaning,mobs,25,25,0,4.24,0.0,43.334,5.437,20.826,2.962525637634996e-05,True
negative-leaning,shows,29,28,1,4.75,0.21,16.196,4.018,20.666,3.185225544052387e-05,True
negative-leaning,dudes,24,24,0,4.07,0.0,41.561,5.377,19.973,4.24681159439498e-05,True
negative-leaning,simply,24,24,0,4.07,0.0,41.561,5.377,19.973,4.24681159439498e-05,True
negative-leaning,mana,24,24,0,4.07,0.0,41.561,5.377,19.973,4.24681159439498e-05,True
positive-leaning,fmv,44,0,44,0.0,9.17,0.008,-6.912,56.403,1.5648073594354158e-11,True
positive-leaning,although,38,0,38,0.0,7.92,0.01,-6.683,48.428,3.6315961869027383e-10,True
positive-leaning,fan,38,0,38,0.0,7.92,0.01,-6.683,48.428,3.6315961869027383e-10,True
positive-leaning,choices,37,0,37,0.0,7.71,0.01,-6.642,47.108,5.933891448389383e-10,True
positive-leaning,various,36,0,36,0.0,7.5,0.01,-6.6,45.791,9.963410651703022e-10,True
positive-leaning,kinetic,35,0,35,0.0,7.29,0.011,-6.556,44.476,1.7062112365666682e-09,True
positive-leaning,amazing,39,2,37,0.34,7.71,0.05,-4.315,40.927,8.37430379838051e-09,True
positive-leaning,knight,30,0,30,0.0,6.25,0.013,-6.321,37.939,2.7636699513628866e-08,True
positive-leaning,ritter,30,0,30,0.0,6.25,0.013,-6.321,37.939,2.7636699513628866e-08,True
positive-leaning,markus,30,0,30,0.0,6.25,0.013,-6.321,37.939,2.7636699513628866e-08,True
positive-leaning,gabriel,30,0,30,0.0,6.25,0.013,-6.321,37.939,2.7636699513628866e-08,True
