direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,amazon,131,115,16,5.41,0.24,23.097,4.53,292.792,3.4680094298927753e-62,True
negative-leaning,money,375,220,155,10.36,2.33,4.833,2.273,253.289,7.05321450819783e-54,True
negative-leaning,shit,76,76,0,3.58,0.0,496.419,8.955,239.883,3.9359275374303186e-51,True
negative-leaning,garbage,64,63,1,2.97,0.02,136.467,7.092,193.495,3.8841614107683494e-41,True
negative-leaning,boring,128,96,32,4.52,0.48,9.682,3.275,182.509,7.774609989390073e-39,True
negative-leaning,years,447,225,222,10.59,3.34,3.428,1.777,175.044,2.76359105539081e-37,True
negative-leaning,worst,92,76,16,3.58,0.24,15.007,3.908,172.713,7.646078730913199e-37,True
negative-leaning,waste,97,77,20,3.63,0.3,12.235,3.613,162.62,1.0716390674272845e-34,True
negative-leaning,worse,109,83,26,3.91,0.39,10.218,3.353,162.16,1.200798457446386e-34,True
negative-leaning,paradox,69,60,9,2.82,0.14,20.475,4.356,149.149,7.53303406854075e-32,True
negative-leaning,terrible,97,74,23,3.48,0.35,10.24,3.356,144.896,5.82373166229784e-31,True
negative-leaning,unplayable,61,53,8,2.5,0.12,20.171,4.334,131.436,4.689932851268085e-28,True
negative-leaning,servers,76,59,17,2.78,0.26,10.913,3.448,119.17,2.093596155679578e-25,True
negative-leaning,horrible,45,42,3,1.98,0.05,38.738,5.276,117.725,4.0278834632559597e-25,True
negative-leaning,bad,492,217,275,10.22,4.14,2.637,1.399,112.319,5.742456762870718e-24,True
negative-leaning,buy,320,157,163,7.39,2.45,3.174,1.666,111.688,7.400832750018233e-24,True
negative-leaning,anything,224,121,103,5.7,1.55,3.834,1.939,111.217,8.83293606487527e-24,True
negative-leaning,shut,66,51,15,2.4,0.23,10.626,3.41,101.986,8.792810544744608e-22,True
negative-leaning,company,59,47,12,2.21,0.18,12.135,3.601,99.483,2.948636776041056e-21,True
negative-leaning,anymore,73,54,19,2.54,0.29,8.946,3.161,99.286,3.0936730839164973e-21,True
negative-leaning,awful,31,31,0,1.46,0.0,200.014,7.644,97.343,7.858874004621337e-21,True
negative-leaning,slop,78,56,22,2.64,0.33,8.042,3.008,97.059,8.661380978323959e-21,True
negative-leaning,shame,62,48,14,2.26,0.21,10.684,3.417,96.291,1.2205377723714922e-20,True
negative-leaning,refund,128,78,50,3.67,0.75,5.01,2.325,95.423,1.8140662944291496e-20,True
negative-leaning,because,679,269,410,12.66,6.17,2.207,1.142,95.08,2.0705911248978136e-20,True
negative-leaning,fucking,30,30,0,1.41,0.0,193.572,7.597,94.192,3.11755555336664e-20,True
negative-leaning,completely,151,86,65,4.05,0.98,4.264,2.092,89.706,2.897338907777364e-19,True
negative-leaning,broken,90,60,30,2.82,0.45,6.357,2.668,89.272,3.478841926317541e-19,True
negative-leaning,ruined,30,29,1,1.37,0.02,62.369,5.963,86.088,1.679956507433189e-18,True
negative-leaning,abandoned,53,41,12,1.93,0.18,10.572,3.402,82.041,1.2581090334552186e-17,True
negative-leaning,update,275,129,146,6.07,2.2,2.88,1.526,79.639,4.103618180969312e-17,True
negative-leaning,reason,131,75,56,3.53,0.84,4.297,2.103,79.066,5.3154778241321067e-17,True
negative-leaning,buggy,73,50,23,2.35,0.35,6.861,2.778,78.621,6.454750545299037e-17,True
negative-leaning,fuck,25,25,0,1.18,0.0,161.453,7.335,78.449,6.836362383934898e-17,True
negative-leaning,greedy,30,28,2,1.32,0.03,36.13,5.175,78.349,6.952393834561035e-17,True
negative-leaning,half,134,76,58,3.58,0.87,4.206,2.072,78.303,6.952393834561035e-17,True
negative-leaning,cash,49,38,11,1.79,0.17,10.647,3.412,76.364,1.8046836513062104e-16,True
negative-leaning,stupid,60,43,17,2.02,0.26,7.917,2.985,74.105,5.517988745550902e-16,True
negative-leaning,toxic,42,34,8,1.6,0.12,12.889,3.688,74.011,5.638671897039481e-16,True
negative-leaning,shutting,47,36,11,1.69,0.17,10.084,3.334,70.631,3.0485616621815436e-15,True
positive-leaning,love,616,70,546,3.3,8.22,0.383,-1.384,59.657,6.149000811412516e-13,True
positive-leaning,fun,1758,303,1455,14.27,21.89,0.594,-0.751,58.425,1.1071730467539938e-12,True
positive-leaning,visually,220,8,212,0.38,3.19,0.122,-3.04,52.088,2.3110741763419117e-11,True
positive-leaning,best,586,71,515,3.34,7.75,0.414,-1.272,50.118,5.845147831162017e-11,True
positive-leaning,presentation,162,1,161,0.05,2.42,0.028,-5.14,50.093,5.845147831162017e-11,True
positive-leaning,depth,232,11,221,0.52,3.33,0.158,-2.663,49.259,8.699225785626618e-11,True
positive-leaning,simple,312,26,286,1.22,4.3,0.28,-1.835,44.481,8.654564617607517e-10,True
positive-leaning,rating,172,5,167,0.24,2.51,0.1,-3.316,43.417,1.4068903427481816e-09,True
positive-leaning,atmosphere,213,12,201,0.56,3.02,0.189,-2.401,41.084,4.391763588433941e-09,True
positive-leaning,story,508,63,445,2.97,6.7,0.429,-1.222,41.03,4.467031569048901e-09,True
positive-leaning,curve,152,4,148,0.19,2.23,0.093,-3.429,39.275,1.0152631218228357e-08,True
positive-leaning,rough,187,9,178,0.42,2.68,0.163,-2.619,39.207,1.0376365665536376e-08,True
positive-leaning,fans,144,3,141,0.14,2.12,0.076,-3.721,39.086,1.0935116391708567e-08,True
positive-leaning,easy,385,42,343,1.98,5.16,0.375,-1.417,38.868,1.2000253183484528e-08,True
positive-leaning,action,171,7,164,0.33,2.47,0.14,-2.841,38.487,1.4312428865349e-08,True
positive-leaning,style,285,25,260,1.18,3.91,0.298,-1.748,38.297,1.5636104265982697e-08,True
positive-leaning,perfect,241,18,223,0.85,3.36,0.252,-1.986,37.882,1.9056051150853602e-08,True
positive-leaning,published,176,8,168,0.38,2.53,0.154,-2.695,37.876,1.9056051150853602e-08,True
positive-leaning,awesome,195,11,184,0.52,2.77,0.191,-2.391,37.504,2.2854679666983775e-08,True
positive-leaning,environments,146,4,142,0.19,2.14,0.097,-3.368,37.322,2.4442027192675018e-08,True
positive-leaning,aesthetic,153,5,148,0.24,2.23,0.114,-3.139,37.241,2.5081642027401725e-08,True
positive-leaning,highly,174,8,166,0.38,2.5,0.156,-2.677,37.238,2.5081642027401725e-08,True
positive-leaning,overall,416,49,367,2.31,5.52,0.408,-1.295,36.824,3.075995770174594e-08,True
positive-leaning,seeking,121,1,120,0.05,1.81,0.038,-4.708,36.581,3.454988166614115e-08,True
positive-leaning,satisfying,214,15,199,0.71,2.99,0.237,-2.074,35.397,6.138885882966297e-08,True
positive-leaning,visual,207,14,193,0.66,2.9,0.229,-2.126,35.197,6.75027636566136e-08,True
positive-leaning,small,326,34,292,1.6,4.39,0.359,-1.48,35.079,7.073397070723162e-08,True
positive-leaning,variety,225,17,208,0.8,3.13,0.256,-1.963,34.937,7.533639561694715e-08,True
positive-leaning,offers,192,12,180,0.56,2.71,0.212,-2.238,34.534,8.984758197628479e-08,True
positive-leaning,great,934,154,780,7.25,11.74,0.589,-0.763,34.039,1.1413392399187595e-07,True
positive-leaning,beautiful,149,6,143,0.28,2.15,0.139,-2.846,33.672,1.3094413236351945e-07,True
positive-leaning,rhythm,134,4,130,0.19,1.96,0.106,-3.238,33.43,1.4626829082977718e-07,True
positive-leaning,adventure,134,4,130,0.19,1.96,0.106,-3.238,33.43,1.4626829082977718e-07,True
positive-leaning,sessions,111,1,110,0.05,1.66,0.042,-4.581,33.306,1.54797474611017e-07,True
positive-leaning,succeeds,101,0,101,0.0,1.52,0.015,-6.042,32.655,2.1198036052746569e-07,True
positive-leaning,complex,166,9,157,0.42,2.36,0.185,-2.434,32.575,2.1940376504874007e-07,True
positive-leaning,amazing,275,27,248,1.27,3.73,0.338,-1.567,32.079,2.7750394833999555e-07,True
positive-leaning,horror,190,13,177,0.61,2.66,0.233,-2.101,31.951,2.924845021790296e-07,True
positive-leaning,music,242,22,220,1.04,3.31,0.312,-1.681,31.032,4.518005318194863e-07,True
positive-leaning,narrative,126,4,122,0.19,1.84,0.113,-3.145,30.847,4.879565026716963e-07,True
