direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,refund,43,37,6,4.27,0.08,54.514,5.769,279.516,1.5384626701574576e-59,True
negative-leaning,boring,116,65,51,7.5,0.65,12.366,3.628,278.933,1.5384626701574576e-59,True
negative-leaning,unplayable,25,25,0,2.88,0.0,475.405,8.893,227.093,2.0524652118494123e-48,True
negative-leaning,terrible,46,33,13,3.81,0.17,23.315,4.543,197.224,5.0528266031004586e-42,True
negative-leaning,worse,48,32,16,3.69,0.2,18.477,4.208,173.441,6.292597843674784e-37,True
negative-leaning,needs,136,59,77,6.81,0.98,7.384,2.884,172.532,8.282367835669316e-37,True
negative-leaning,bad,306,92,214,10.61,2.73,4.248,2.087,143.412,1.6369506847652464e-30,True
negative-leaning,because,594,142,452,16.38,5.76,3.213,1.684,138.792,1.4663169196057013e-29,True
negative-leaning,review,265,82,183,9.46,2.33,4.39,2.134,134.616,1.0679764536065012e-28,True
negative-leaning,reason,122,50,72,5.77,0.92,6.63,2.729,133.146,1.852680288550203e-28,True
negative-leaning,positive,99,44,55,5.07,0.7,7.593,2.925,133.124,1.852680288550203e-28,True
negative-leaning,awful,28,21,7,2.42,0.09,26.572,4.732,132.778,2.0214753271951656e-28,True
negative-leaning,waste,57,31,26,3.58,0.33,11.123,3.475,126.565,4.268158134635912e-27,True
negative-leaning,why,205,66,139,7.61,1.77,4.588,2.198,116.097,7.756730605491436e-25,True
negative-leaning,start,240,71,169,8.19,2.15,4.07,2.025,106.322,1.0024438132045619e-22,True
negative-leaning,unfortunately,68,32,36,3.69,0.46,8.331,3.059,105.442,1.4651972706405789e-22,True
negative-leaning,disappointing,21,16,5,1.85,0.06,27.652,4.789,103.178,4.322741606295176e-22,True
negative-leaning,chronicle,34,21,13,2.42,0.17,14.751,3.883,102.372,6.131621399146605e-22,True
negative-leaning,crashes,32,20,12,2.31,0.15,15.174,3.924,99.081,3.059943833582012e-21,True
negative-leaning,unless,57,28,29,3.23,0.37,9.004,3.171,98.363,4.177152899338871e-21,True
negative-leaning,tried,109,41,68,4.73,0.87,5.707,2.513,94.395,2.952303750618172e-20,True
negative-leaning,remove,23,16,7,1.85,0.09,20.273,4.341,91.553,1.132984069693302e-19,True
negative-leaning,poorly,23,16,7,1.85,0.09,20.273,4.341,91.553,1.132984069693302e-19,True
negative-leaning,poor,26,17,9,1.96,0.11,16.99,4.087,89.521,3.032548748683224e-19,True
negative-leaning,either,169,53,116,6.11,1.48,4.363,2.125,88.295,5.411959421068716e-19,True
negative-leaning,currency,24,16,8,1.85,0.1,17.885,4.161,86.481,1.3018503211949247e-18,True
negative-leaning,should,266,71,195,8.19,2.48,3.517,1.814,85.96,1.6315802864174556e-18,True
negative-leaning,instead,230,64,166,7.38,2.11,3.706,1.89,84.376,3.4618422674764566e-18,True
negative-leaning,zero,39,21,18,2.42,0.23,10.757,3.427,84.331,3.4618422674764566e-18,True
negative-leaning,tutorial,37,20,17,2.31,0.22,10.832,3.437,80.747,2.051166974439001e-17,True
negative-leaning,repetitive,129,43,86,4.96,1.1,4.738,2.244,80.007,2.8876882896674146e-17,True
negative-leaning,tedious,62,27,35,3.11,0.45,7.206,2.849,78.758,5.2627250509155234e-17,True
negative-leaning,locked,45,22,23,2.54,0.29,8.867,3.148,76.625,1.5029453056392737e-16,True
negative-leaning,cannot,109,38,71,4.38,0.9,5.052,2.337,76.552,1.5137401183638708e-16,True
negative-leaning,forced,42,21,21,2.42,0.27,9.253,3.21,75.629,2.3461509945905707e-16,True
negative-leaning,least,199,56,143,6.46,1.82,3.741,1.903,75.319,2.6683101925232557e-16,True
negative-leaning,fix,84,32,52,3.69,0.66,5.78,2.531,75.075,2.937628373762469e-16,True
negative-leaning,point,356,83,273,9.57,3.48,2.95,1.561,74.117,4.646985913941844e-16,True
negative-leaning,sadly,33,18,15,2.08,0.19,11.013,3.461,73.597,5.892090223924787e-16,True
negative-leaning,hour,118,39,79,4.5,1.01,4.662,2.221,71.336,1.8069275800398477e-15,True
positive-leaning,great,1347,82,1265,9.46,16.11,0.547,-0.871,26.441,3.8116432627342506e-06,True
positive-leaning,love,1013,61,952,7.04,12.12,0.553,-0.856,19.679,9.31232243387664e-05,True
positive-leaning,highly,288,7,281,0.81,3.58,0.234,-2.093,18.771,0.00013868693269531175,True
positive-leaning,friends,251,5,246,0.58,3.13,0.197,-2.345,18.245,0.00017786914401179098,True
positive-leaning,favorite,208,3,205,0.35,2.61,0.151,-2.73,17.195,0.00029430780572997926,True
positive-leaning,amazing,417,18,399,2.08,5.08,0.406,-1.299,15.481,0.0006468534637635202,True
positive-leaning,addictive,148,1,147,0.12,1.87,0.09,-3.467,14.439,0.0010272893680802245,True
positive-leaning,fantastic,182,3,179,0.35,2.28,0.173,-2.53,14.281,0.0011139689186931282,True
positive-leaning,fun,2153,169,1984,19.49,25.26,0.718,-0.479,13.989,0.0012535476718824733,True
positive-leaning,cute,594,33,561,3.81,7.14,0.521,-0.94,13.701,0.0014419002818318884,True
positive-leaning,soundtrack,247,8,239,0.92,3.04,0.314,-1.669,12.758,0.002231611325783762,True
positive-leaning,easy,545,32,513,3.69,6.53,0.556,-0.847,10.76,0.005602886427747736,True
positive-leaning,perfect,298,13,285,1.5,3.63,0.419,-1.256,10.73,0.00568260622021221,True
positive-leaning,beautiful,265,11,254,1.27,3.23,0.401,-1.319,10.239,0.007188111560898896,True
positive-leaning,unique,370,19,351,2.19,4.47,0.491,-1.028,9.974,0.008175042431881446,True
positive-leaning,best,546,33,513,3.81,6.53,0.574,-0.801,9.888,0.008493024664400523,True
positive-leaning,awesome,222,9,213,1.04,2.71,0.396,-1.336,8.822,0.013919655442216126,True
positive-leaning,relaxing,207,8,199,0.92,2.53,0.379,-1.398,8.748,0.01441234992502435,True
positive-leaning,sessions,77,0,77,0.0,0.98,0.058,-4.112,8.577,0.01558754048837179,True
positive-leaning,racing,161,5,156,0.58,1.99,0.314,-1.673,8.563,0.0156743746943063,True
positive-leaning,art,583,38,545,4.38,6.94,0.622,-0.685,8.183,0.018875186221869903,True
positive-leaning,challenging,269,13,256,1.5,3.26,0.468,-1.096,8.094,0.01940531276579399,True
positive-leaning,delivers,70,0,70,0.0,0.89,0.064,-3.974,7.791,0.022456098400159594,True
positive-leaning,gem,88,1,87,0.12,1.11,0.154,-2.702,7.699,0.023497219075647308,True
positive-leaning,solid,233,11,222,1.27,2.83,0.461,-1.119,7.29,0.028685273533719115,True
positive-leaning,masterpiece,84,1,83,0.12,1.06,0.161,-2.634,7.256,0.029178796882795312,True
positive-leaning,arcade,146,5,141,0.58,1.8,0.348,-1.525,7.045,0.032410624877955686,True
positive-leaning,music,554,37,517,4.27,6.58,0.64,-0.644,7.039,0.032410624877955686,True
positive-leaning,blast,62,0,62,0.0,0.79,0.072,-3.799,6.894,0.03492821530116671,True
positive-leaning,strategy,159,6,153,0.69,1.95,0.379,-1.402,6.883,0.035076357376149316,True
positive-leaning,colorful,80,1,79,0.12,1.01,0.169,-2.562,6.814,0.03617146202926316,True
positive-leaning,brain,112,3,109,0.35,1.39,0.286,-1.804,6.686,0.03833963396037137,True
positive-leaning,positioning,60,0,60,0.0,0.76,0.074,-3.752,6.67,0.03862147490334033,True
positive-leaning,forward,184,8,176,0.92,2.24,0.43,-1.217,6.571,0.04032287472246457,True
positive-leaning,excellent,170,7,163,0.81,2.08,0.41,-1.286,6.57,0.04032287472246457,True
positive-leaning,familiar,77,1,76,0.12,0.97,0.176,-2.506,6.483,0.04201648398922951,True
positive-leaning,offers,109,3,106,0.35,1.35,0.295,-1.764,6.373,0.0445627452681584,True
positive-leaning,traditional,76,1,75,0.12,0.96,0.178,-2.487,6.372,0.0445627452681584,True
positive-leaning,fairy,55,0,55,0.0,0.7,0.081,-3.626,6.111,0.05087114982983967,False
positive-leaning,bullet,106,3,103,0.35,1.31,0.303,-1.722,6.062,0.05144376391841286,False
