direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,bad,474,249,225,17.09,2.7,7.424,2.892,557.372,8.357286478897958e-120,True
negative-leaning,refund,61,55,6,3.77,0.07,50.698,5.664,274.615,1.492671106698323e-58,True
negative-leaning,needs,192,105,87,7.21,1.04,7.352,2.878,244.953,2.9079619041380122e-52,True
negative-leaning,boring,154,91,63,6.25,0.76,8.721,3.125,241.391,1.3041154886121542e-51,True
negative-leaning,waste,89,63,26,4.32,0.31,14.275,3.835,221.588,2.1722259578336435e-47,True
negative-leaning,unplayable,34,34,0,2.33,0.0,403.942,8.658,195.133,1.070538846089274e-41,True
negative-leaning,awful,48,41,7,2.81,0.08,32.526,5.024,189.443,1.6019194059604314e-40,True
negative-leaning,tried,149,81,68,5.56,0.82,7.144,2.837,186.167,7.274019307625587e-40,True
negative-leaning,poorly,45,38,7,2.61,0.08,30.111,4.912,172.687,5.673360248929786e-37,True
negative-leaning,positive,123,67,56,4.6,0.67,7.112,2.83,154.117,5.822022793119935e-33,True
negative-leaning,price,467,162,305,11.12,3.66,3.296,1.721,151.874,1.6358420558983173e-32,True
negative-leaning,trash,64,44,20,3.02,0.24,12.767,3.674,147.566,1.3113155470077385e-31,True
negative-leaning,terrible,53,39,14,2.68,0.17,15.977,3.998,144.96,4.49316201920842e-31,True
negative-leaning,felt,314,121,193,8.3,2.32,3.825,1.935,143.267,9.786158773679434e-31,True
negative-leaning,happening,76,48,28,3.29,0.34,10.028,3.326,140.914,2.986396892925882e-30,True
negative-leaning,unless,80,49,31,3.36,0.37,9.263,3.211,136.894,2.119344656270986e-29,True
negative-leaning,sadly,53,38,15,2.61,0.18,14.556,3.864,135.792,3.4754745838677835e-29,True
negative-leaning,either,205,89,116,6.11,1.39,4.613,2.206,134.56,5.951826641464813e-29,True
negative-leaning,sorry,73,46,27,3.16,0.32,9.951,3.315,134.503,5.951826641464813e-29,True
negative-leaning,idea,239,98,141,6.73,1.69,4.195,2.069,131.959,2.036534104902943e-28,True
negative-leaning,dudes,25,24,1,1.65,0.01,94.941,6.569,130.192,4.7230534194372745e-28,True
negative-leaning,generally,72,45,27,3.09,0.32,9.73,3.282,129.83,5.409580285047438e-28,True
negative-leaning,repetitive,162,75,87,5.15,1.04,5.147,2.364,128.323,1.1053935940604905e-27,True
negative-leaning,pay,89,51,38,3.5,0.46,7.889,2.98,127.591,1.5323742209610484e-27,True
negative-leaning,toilet,22,22,0,1.51,0.0,261.238,8.029,126.108,3.10581484964187e-27,True
negative-leaning,reason,144,69,75,4.74,0.9,5.475,2.453,125.901,3.314630857816782e-27,True
negative-leaning,point,466,153,313,10.5,3.76,3.01,1.59,124.453,6.621924414031356e-27,True
negative-leaning,currency,38,30,8,2.06,0.1,20.927,4.387,123.599,9.815515075841737e-27,True
negative-leaning,sure,401,137,264,9.4,3.17,3.177,1.668,122.721,1.4755381082967818e-26,True
negative-leaning,streamed,21,21,0,1.44,0.0,249.454,7.963,120.363,4.530225504823318e-26,True
negative-leaning,shit,21,21,0,1.44,0.0,249.454,7.963,120.363,4.530225504823318e-26,True
negative-leaning,refunded,25,23,2,1.58,0.02,54.595,5.771,117.669,1.7072725351922942e-25,True
negative-leaning,mana,29,25,4,1.72,0.05,32.95,5.042,116.806,2.5569607696349185e-25,True
negative-leaning,until,272,103,169,7.07,2.03,3.681,1.88,116.682,2.642477534004545e-25,True
negative-leaning,cannot,137,65,72,4.46,0.86,5.36,2.422,116.302,3.1091717551798973e-25,True
negative-leaning,yusano,20,20,0,1.37,0.0,237.686,7.893,114.62,6.353449491209977e-25,True
