direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,shit,299,299,0,2.94,0.0,2420.987,11.241,1180.083,1.0005026849071206e-254,True
negative-leaning,refund,479,382,97,3.75,0.24,15.951,3.996,1055.561,5.794597971378767e-228,True
negative-leaning,boring,944,587,357,5.76,0.89,6.78,2.761,1042.064,3.314137488934621e-225,True
negative-leaning,money,2030,947,1083,9.3,2.71,3.68,1.88,906.726,6.516489939916246e-196,True
negative-leaning,waste,494,349,145,3.43,0.36,9.722,3.281,780.978,1.1354421925620276e-168,True
negative-leaning,bad,2608,1069,1539,10.49,3.85,2.928,1.55,726.69,6.027513971362167e-157,True
negative-leaning,unplayable,304,249,55,2.44,0.14,18.053,4.174,716.93,6.8470593779514e-155,True
negative-leaning,slop,441,310,131,3.04,0.33,9.523,3.251,686.712,2.2311073732908334e-148,True
negative-leaning,terrible,439,309,130,3.03,0.33,9.564,3.258,686.102,2.6923967683684002e-148,True
negative-leaning,worse,397,279,118,2.74,0.3,9.486,3.246,617.212,2.3247591675079956e-133,True
negative-leaning,why,1611,713,898,7.0,2.25,3.275,1.711,589.673,2.0650830617198912e-127,True
negative-leaning,because,3967,1387,2580,13.62,6.46,2.284,1.192,571.315,1.8635394307463796e-123,True
negative-leaning,anything,1554,679,875,6.67,2.19,3.191,1.674,541.67,4.8352584085480865e-117,True
negative-leaning,garbage,284,214,70,2.1,0.18,12.171,3.605,534.567,1.575720255659788e-115,True
negative-leaning,until,1375,613,762,6.02,1.91,3.295,1.72,514.483,3.444130291166256e-111,True
negative-leaning,awful,225,182,43,1.79,0.11,16.74,4.065,512.399,9.172149179390134e-111,True
negative-leaning,half,711,371,340,3.64,0.85,4.404,2.139,452.524,9.217885918514976e-98,True
negative-leaning,worst,463,276,187,2.71,0.47,5.919,2.565,445.9,2.40709064248211e-96,True
negative-leaning,fucking,113,113,0,1.11,0.0,900.531,9.815,444.327,5.01605282200395e-96,True
negative-leaning,poor,315,212,103,2.08,0.26,8.205,3.036,432.424,1.8560647251250124e-93,True
negative-leaning,reason,843,410,433,4.02,1.08,3.829,1.937,424.967,7.421871742473906e-92,True
negative-leaning,buy,1995,766,1229,7.52,3.08,2.563,1.358,419.782,9.521961131132038e-91,True
negative-leaning,cannot,856,409,447,4.01,1.12,3.698,1.887,405.955,9.316242429617946e-88,True
negative-leaning,fix,824,396,428,3.89,1.07,3.736,1.902,398.467,3.808925988113494e-86,True
negative-leaning,poorly,280,190,90,1.87,0.23,8.396,3.07,393.243,5.013913246955831e-85,True
negative-leaning,fuck,97,97,0,0.95,0.0,772.357,9.593,381.291,1.9283068339545863e-82,True
negative-leaning,state,750,365,385,3.58,0.96,3.821,1.934,378.195,8.768970897559517e-82,True
negative-leaning,horrible,246,171,75,1.68,0.19,9.047,3.177,369.712,5.9432217140119875e-80,True
negative-leaning,servers,221,158,63,1.55,0.16,9.931,3.312,359.245,1.0911616648194924e-77,True
negative-leaning,point,2015,741,1274,7.27,3.19,2.383,1.253,351.499,4.961744769533848e-76,True
negative-leaning,crashes,330,203,127,1.99,0.32,6.369,2.671,348.419,2.2520502581637486e-75,True
negative-leaning,trash,411,235,176,2.31,0.44,5.334,2.415,347.952,2.7605721263884536e-75,True
negative-leaning,stupid,320,197,123,1.93,0.31,6.378,2.673,338.57,2.9590920779066964e-73,True
negative-leaning,should,2081,750,1331,7.36,3.33,2.307,1.206,331.825,8.462874636261604e-72,True
negative-leaning,unless,613,304,309,2.98,0.77,3.948,1.981,328.708,3.9287559904342525e-71,True
negative-leaning,amazon,143,116,27,1.14,0.07,16.8,4.07,327.598,6.670782731663615e-71,True
negative-leaning,again,2002,725,1277,7.12,3.2,2.322,1.215,325.771,1.623186098178085e-70,True
negative-leaning,tried,806,368,438,3.61,1.1,3.383,1.758,325.115,2.197678203778453e-70,True
negative-leaning,completely,896,395,501,3.88,1.25,3.178,1.668,318.538,5.803306766459122e-69,True
negative-leaning,literally,660,316,344,3.1,0.86,3.688,1.883,314.001,5.379131974133531e-68,True
positive-leaning,fun,10393,1421,8972,13.95,22.45,0.56,-0.836,357.008,3.238853801451244e-77,True
positive-leaning,great,6076,711,5365,6.98,13.42,0.484,-1.046,316.645,1.4629659365210345e-68,True
positive-leaning,love,4828,529,4299,5.19,10.76,0.455,-1.137,288.844,1.3946297930029627e-62,True
positive-leaning,amazing,1803,126,1677,1.24,4.2,0.287,-1.801,205.111,1.6219880584431824e-44,True
positive-leaning,best,3017,311,2706,3.05,6.77,0.434,-1.204,198.467,4.235242020260285e-43,True
positive-leaning,highly,1223,62,1161,0.61,2.9,0.206,-2.278,179.932,3.859902000506926e-39,True
positive-leaning,unique,1551,113,1438,1.11,3.6,0.302,-1.729,167.783,1.471619620939889e-36,True
positive-leaning,horror,1422,105,1317,1.03,3.3,0.307,-1.704,151.113,5.686518053789439e-33,True
positive-leaning,atmosphere,1355,108,1247,1.06,3.12,0.334,-1.582,131.044,1.2025453870286585e-28,True
positive-leaning,nice,2770,338,2432,3.32,6.09,0.53,-0.915,119.129,4.2912279478104574e-26,True
positive-leaning,addictive,592,15,577,0.15,1.44,0.104,-3.266,116.978,1.2412176792992493e-25,True
positive-leaning,simple,2064,228,1836,2.24,4.59,0.476,-1.07,114.167,4.930801416031735e-25,True
positive-leaning,perfect,1283,110,1173,1.08,2.93,0.362,-1.464,112.083,1.3594050344827972e-24,True
positive-leaning,definitely,1813,192,1621,1.88,4.06,0.455,-1.135,109.831,4.106177282972814e-24,True
positive-leaning,visually,757,39,718,0.38,1.8,0.213,-2.234,109.132,5.814015514234172e-24,True
positive-leaning,satisfying,1049,79,970,0.78,2.43,0.316,-1.662,108.127,9.560162175866621e-24,True
positive-leaning,surprisingly,540,13,527,0.13,1.32,0.099,-3.333,108.112,9.584495872977341e-24,True
positive-leaning,excellent,681,30,651,0.29,1.63,0.181,-2.464,107.918,1.0517892397884466e-23,True
positive-leaning,published,624,24,600,0.24,1.5,0.158,-2.662,105.837,2.9338243805582317e-23,True
positive-leaning,familiar,573,18,555,0.18,1.39,0.129,-2.954,105.576,3.330776534414629e-23,True
positive-leaning,relaxing,760,42,718,0.41,1.8,0.229,-2.128,104.226,6.492584183652946e-23,True
positive-leaning,rating,884,61,823,0.6,2.06,0.289,-1.792,99.995,5.156670946912943e-22,True
positive-leaning,good,9678,1612,8066,15.82,20.18,0.744,-0.427,99.003,8.363976811533221e-22,True
positive-leaning,offers,894,63,831,0.62,2.08,0.295,-1.76,98.949,8.558822916916672e-22,True
positive-leaning,solid,1135,99,1036,0.97,2.59,0.37,-1.433,96.364,3.027949145515635e-21,True
positive-leaning,driven,621,29,592,0.28,1.48,0.193,-2.373,95.048,5.684457619366064e-21,True
positive-leaning,delivers,407,4,403,0.04,1.01,0.043,-4.529,94.713,6.61641662277118e-21,True
positive-leaning,traditional,416,5,411,0.05,1.03,0.052,-4.268,94.642,6.83115797156261e-21,True
positive-leaning,endings,631,31,600,0.3,1.5,0.203,-2.298,93.62,1.1403133563711122e-20,True
positive-leaning,tension,595,27,568,0.27,1.42,0.188,-2.414,92.564,1.914878838751129e-20,True
positive-leaning,awesome,990,81,909,0.8,2.27,0.346,-1.53,91.807,2.7864488347408465e-20,True
positive-leaning,succeeds,390,4,386,0.04,0.97,0.045,-4.466,90.324,5.762444794625221e-20,True
positive-leaning,action,976,80,896,0.79,2.24,0.347,-1.527,90.26,5.908263471061006e-20,True
positive-leaning,presentation,593,28,565,0.27,1.41,0.195,-2.355,90.11,6.32739242090144e-20,True
positive-leaning,seeking,396,5,391,0.05,0.98,0.055,-4.195,89.485,8.555522435657726e-20,True
positive-leaning,genre,1228,118,1110,1.16,2.78,0.412,-1.28,89.086,1.0428023360367583e-19,True
positive-leaning,music,1772,203,1569,1.99,3.93,0.499,-1.004,89.003,1.0798273178836176e-19,True
positive-leaning,beautiful,961,82,879,0.8,2.2,0.363,-1.463,83.986,1.270282275539266e-18,True
positive-leaning,overall,2644,353,2291,3.47,5.73,0.591,-0.759,83.554,1.575220264075889e-18,True
positive-leaning,easy,2330,301,2029,2.95,5.08,0.57,-0.811,82.52,2.588680359004085e-18,True
