word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
bad,157,11,433,469,0.26610169491525426,0.022916666666666665,168,14.833007371746653,3.8907392267622054,118.25918328426144,1.5214911789155824e-27,590,480,negative,8.063903248252587e-25,True
sure,99,16,491,464,0.16779661016949152,0.03333333333333333,115,5.6990351120564755,2.5107176812272676,49.88651848536642,1.6290009648671092e-12,590,480,negative,2.8779017045985594e-10,True
level,67,6,523,474,0.1135593220338983,0.0125,73,9.412607449856733,3.2345944290000395,42.521812593573614,6.989835398907224e-11,590,480,negative,4.1162364015786985e-09,True
moment,40,0,550,480,0.06779661016949153,0.0,40,70.70027247956403,6.143643870094007,33.806154352476554,6.088594701867943e-09,590,480,negative,1.5366453295190522e-07,True
tried,40,0,550,480,0.06779661016949153,0.0,40,70.70027247956403,6.143643870094007,33.806154352476554,6.088594701867943e-09,590,480,negative,1.5366453295190522e-07,True
sorry,38,0,552,480,0.06440677966101695,0.0,38,66.9656108597285,6.065348507189857,32.05360662199448,1.4997640406905784e-08,590,480,negative,3.4559780068087244e-07,True
pay,40,1,550,479,0.06779661016949153,0.0020833333333333333,41,23.517711171662125,4.555675753617231,31.01587540959414,2.559265323016757e-08,590,480,negative,5.023743041477338e-07,True
either,36,0,554,480,0.061016949152542375,0.0,36,63.25788999098287,5.983173529492058,30.30783857325509,3.6863315950451926e-08,590,480,negative,6.532021218825355e-07,True
enemy,36,0,554,480,0.061016949152542375,0.0,36,63.25788999098287,5.983173529492058,30.30783857325509,3.6863315950451926e-08,590,480,negative,6.532021218825355e-07,True
price,97,28,493,452,0.16440677966101694,0.058333333333333334,125,3.1368314403028847,1.649308007099039,28.863471497324603,7.766384655621245e-08,590,480,negative,1.0488607676445568e-06,True
recommend,118,40,472,440,0.2,0.08333333333333333,158,2.7277679796198315,1.4477209358256131,28.623232659708343,8.792095984510942e-08,590,480,negative,1.136539237022146e-06,True
generally,34,0,556,480,0.0576271186440678,0.0,34,59.57681940700809,5.89667920020996,28.5688109416923,9.04270497800768e-08,590,480,negative,1.1411032472247788e-06,True
use,69,15,521,465,0.11694915254237288,0.03125,84,4.002381467850184,2.0008586773756605,26.87038445930681,2.1756739042338674e-07,590,480,negative,2.301004397575442e-06,True
scene,32,0,558,480,0.05423728813559322,0.0,32,55.92211280214861,5.80534696331889,26.836484765357106,2.2141740429499536e-07,590,480,negative,2.301004397575442e-06,True
somewhere,32,0,558,480,0.05423728813559322,0.0,32,55.92211280214861,5.80534696331889,26.836484765357106,2.2141740429499536e-07,590,480,negative,2.301004397575442e-06,True
waste,32,0,558,480,0.05423728813559322,0.0,32,55.92211280214861,5.80534696331889,26.836484765357106,2.2141740429499536e-07,590,480,negative,2.301004397575442e-06,True
