word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
amazon,115,16,2009,6630,0.054143126177024485,0.0024074631357207344,131,23.09703906444389,4.529636011427418,292.79234080208045,1.2250121617424144e-65,2124,6646,negative,3.4680094298927753e-62,True
money,220,155,1904,6491,0.10357815442561205,0.023322299127294614,375,4.833283668144241,2.273003669836042,253.2887667292937,4.9828431707508517e-57,2124,6646,negative,7.05321450819783e-54,True
shit,76,0,2048,6646,0.035781544256120526,0.0,76,496.4190871369295,8.955414777419453,239.8829463097047,4.170887535249366e-54,2124,6646,negative,3.9359275374303186e-51,True
garbage,63,1,2061,6645,0.029661016949152543,0.0001504664459825459,64,136.46673134449026,7.092405475174198,193.4953034056023,5.488041555306746e-44,2124,6646,negative,3.8841614107683494e-41,True
boring,96,32,2028,6614,0.04519774011299435,0.004814926271441469,128,9.682019681083029,3.275308026833764,182.50861315184332,1.3731208034952441e-41,2124,6646,negative,7.774609989390073e-39,True
years,225,222,1899,6424,0.1059322033898305,0.033403551008125185,447,3.4278086190629704,1.7772865633487969,175.04360186840273,5.85713399235071e-40,2124,6646,negative,2.76359105539081e-37,True
worst,76,16,2048,6630,0.035781544256120526,0.0024074631357207344,92,15.006789890607317,3.9075434972824565,172.71322912893362,1.8905881708368915e-39,2124,6646,negative,7.646078730913199e-37,True
waste,77,20,2047,6626,0.036252354048964215,0.003009328919650918,97,12.235117186336698,3.6129560143134247,162.6201801522833,3.0282983184098467e-37,2124,6646,negative,1.0716390674272845e-34,True
worse,83,26,2041,6620,0.039077212806026364,0.003912127595546194,109,10.21837901284202,3.353094448147744,162.15982029630507,3.817444760514826e-37,2124,6646,negative,1.200798457446386e-34,True
paradox,60,9,2064,6637,0.02824858757062147,0.001354198013842913,69,20.474882410676727,4.35578326123371,149.14873207210434,2.660909243567909e-34,2124,6646,negative,7.53303406854075e-32,True
terrible,74,23,2050,6623,0.03483992467043315,0.0034607282575985555,97,10.240382470284882,3.356197694764214,144.89620042405076,2.2628416914615417e-33,2124,6646,negative,5.82373166229784e-31,True
unplayable,53,8,2071,6638,0.02495291902071563,0.0012037315678603672,61,20.170649287955587,4.334185619563919,131.43584693639076,1.9879616465989765e-30,2124,6646,negative,4.689932851268085e-28,True
servers,59,17,2065,6629,0.027777777777777776,0.00255792958170328,76,10.912757201646091,3.4479437518730296,119.16978363532652,9.613829044095553e-28,2124,6646,negative,2.093596155679578e-25,True
