word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
refund,37,6,830,7847,0.04267589388696655,0.0007640392206799949,43,54.51419441485667,5.76856002286189,279.516137126622,9.572790639931229e-63,867,7853,negative,1.5384626701574576e-59,True
boring,65,51,802,7802,0.07497116493656286,0.006494333375779956,116,12.365816774037445,3.628285629151139,278.9331320249087,1.2825866362296436e-62,867,7853,negative,1.5384626701574576e-59,True
unplayable,25,0,842,7853,0.02883506343713956,0.0,25,475.4047477744807,8.89301250104097,227.09282204239136,2.5666509527087272e-51,867,7853,negative,2.0524652118494123e-48,True
terrible,33,13,834,7840,0.03806228373702422,0.0016554183114733223,46,23.314626190000666,4.543163393612754,197.22433813937965,8.424888041851536e-45,867,7853,negative,5.0528266031004586e-42,True
worse,32,16,835,7837,0.03690888119953864,0.0020374379218133197,48,18.476959904248954,4.207655498185577,173.44050061808147,1.3115043442423477e-39,867,7853,negative,6.292597843674784e-37,True
needs,59,77,808,7776,0.06805074971164937,0.009805169998726602,136,7.3844714425359586,2.8844946610683415,172.5315431623667,2.0714550651944936e-39,867,7853,negative,8.282367835669316e-37,True
bad,92,214,775,7639,0.1061130334486736,0.027250732204253152,306,4.248127758766056,2.0868271545993653,143.41221298793488,4.776429676263745e-33,867,7853,negative,1.6369506847652464e-30,True
because,142,452,725,7401,0.1637831603229527,0.05755762129122628,594,3.2127623928629903,1.6838142869674297,138.79243782051947,4.8897604655463156e-32,867,7853,negative,1.4663169196057013e-29,True
review,82,183,785,7670,0.09457900807381776,0.023303196230739846,265,4.3903117991803065,2.1343234033500047,134.6158008967955,4.006581109820138e-31,867,7853,negative,1.0679764536065012e-28,True
reason,50,72,817,7781,0.05767012687427912,0.009168470648159939,122,6.6302351576505325,2.7290600399848945,133.14566973279958,8.40154197241687e-31,867,7853,negative,1.852680288550203e-28,True
positive,44,55,823,7798,0.05074971164936563,0.007003692856233286,99,7.593019248756954,2.924673665492419,133.1237094370792,8.494990902064291e-31,867,7853,negative,1.852680288550203e-28,True
awful,21,7,846,7846,0.02422145328719723,0.0008913790907933274,28,26.57212049616066,4.73184145659709,132.77786184874117,1.0111589798391826e-30,867,7853,negative,2.0214753271951656e-28,True
waste,31,26,836,7827,0.03575547866205306,0.0033108366229466445,57,11.122996763243073,3.475473626924397,126.5651049853546,2.3128826907155835e-29,867,7853,negative,4.268158134635912e-27,True
why,66,139,801,7714,0.07612456747404844,0.017700241945753214,205,4.588298821430248,2.1979593525910675,116.09675509787883,4.526645622212593e-27,867,7853,negative,7.756730605491436e-25,True
start,71,169,796,7684,0.08189158016147635,0.02152043804915319,240,4.069735402118783,2.024934999292456,106.32193449959023,6.267885451466623e-25,867,7853,negative,1.0024438132045619e-22,True
unfortunately,32,36,835,7817,0.03690888119953864,0.004584235324079969,68,8.33128386742415,3.058538834899652,105.44192061014584,9.772053493226037e-25,867,7853,negative,1.4651972706405789e-22,True
disappointing,16,5,851,7848,0.01845444059976932,0.0006366993505666624,21,27.65179095713447,4.789301019155674,103.17817689561817,3.06321831208912e-24,867,7853,negative,4.322741606295176e-22,True
chronicle,21,13,846,7840,0.02422145328719723,0.0016554183114733223,34,14.751000853186323,3.8827409393240364,102.37241572934914,4.60063297976819e-24,867,7853,negative,6.131621399146605e-22,True
crashes,20,12,847,7841,0.02306805074971165,0.0015280784413599898,32,15.17411209439528,3.9235401952569626,99.0812941686938,2.4234653121324814e-23,867,7853,negative,3.059943833582012e-21,True
unless,28,29,839,7824,0.03229527104959631,0.003692856233286642,57,9.004482086795004,3.170643298641242,98.3633727059396,3.482411754346704e-23,867,7853,negative,4.177152899338871e-21,True
tried,41,68,826,7785,0.04728950403690888,0.00865911116770661,109,5.70691200692393,2.5127103187260937,94.39507644899756,2.584342591203902e-22,867,7853,negative,2.952303750618172e-20,True
remove,16,7,851,7846,0.01845444059976932,0.0008913790907933274,23,20.272812683499705,4.341474359470545,91.55336651131897,1.086228995537555e-21,867,7853,negative,1.132984069693302e-19,True
poorly,16,7,851,7846,0.01845444059976932,0.0008913790907933274,23,20.272812683499705,4.341474359470545,91.55336651131897,1.086228995537555e-21,867,7853,negative,1.132984069693302e-19,True
poor,17,9,850,7844,0.0196078431372549,0.0011460588310199923,26,16.99047000216591,4.086653856792384,89.52112708889867,3.0338128373654598e-21,867,7853,negative,3.032548748683224e-19,True
either,53,116,814,7737,0.06113033448673587,0.014771424933146569,169,4.362519990409872,2.1251617422103384,88.29456938505538,5.6398076501341355e-21,867,7853,negative,5.411959421068716e-19,True
currency,16,8,851,7845,0.01845444059976932,0.0010187189609066599,24,17.885496183206108,4.1607182373256855,86.48091199172048,1.4109257336835365e-20,867,7853,negative,1.3018503211949247e-18,True
should,71,195,796,7658,0.08189158016147635,0.024831274672099835,266,3.516553399383171,1.8141621250096054,85.95981747339556,1.836292944279754e-20,867,7853,negative,1.6315802864174556e-18,True
instead,64,166,803,7687,0.07381776239907728,0.021138418438813193,230,3.706335458046721,1.889993464678225,84.37550192069824,4.0918673016632627e-20,867,7853,negative,3.4618422674764566e-18,True
zero,21,18,846,7835,0.02422145328719723,0.0022921176620399847,39,10.757379352181479,3.4272547549285903,84.3311000437037,4.184803074481752e-20,867,7853,negative,3.4618422674764566e-18,True
tutorial,20,17,847,7836,0.02306805074971165,0.0021647777919266524,37,10.83174041297935,3.4371931645596123,80.74734251348329,2.565027479498542e-19,867,7853,negative,2.051166974439001e-17,True
repetitive,43,86,824,7767,0.049596309111880045,0.010951228829746593,129,4.737658486313302,2.2441742057837395,80.00666694868221,3.7314854931092065e-19,867,7853,negative,2.8876882896674146e-17,True
tedious,27,35,840,7818,0.031141868512110725,0.004456895453966637,62,7.205930406950927,2.8491847186490213,78.7581391276499,7.019891689424625e-19,867,7853,negative,5.2627250509155234e-17,True
locked,22,23,845,7830,0.025374855824682813,0.0029288170126066473,45,8.867282358418159,3.1484920155992433,76.62466727196237,2.067411216594249e-18,867,7853,negative,1.5029453056392737e-16,True
cannot,38,71,829,7782,0.04382929642445214,0.009041130778046606,109,5.051931191171698,2.336834989317191,76.55157868317895,2.1453590672935224e-18,867,7853,negative,1.5137401183638708e-16,True
forced,21,21,846,7832,0.02422145328719723,0.0026741372723799823,42,9.252805670407561,3.2098908913627744,75.62904316693685,3.4228964072809495e-18,867,7853,negative,2.3461509945905707e-16,True
least,56,143,811,7710,0.06459054209919261,0.018209601426206545,199,3.7410246006341765,1.9034334529500156,75.31936382962708,4.004133677817308e-18,867,7853,negative,2.6683101925232557e-16,True
fix,32,52,835,7801,0.03690888119953864,0.006621673245893289,84,5.780371035308199,2.5311621006185003,75.07541456500425,4.530731547695346e-18,867,7853,negative,2.937628373762469e-16,True
point,83,273,784,7580,0.09573241061130335,0.03476378454093977,356,2.9500817367575385,1.5607549272138503,74.11736556776223,7.360794694864113e-18,867,7853,negative,4.646985913941844e-16,True
sadly,18,15,849,7838,0.020761245674740483,0.0019100980516999872,33,11.013100685412672,3.4611488048146186,73.59749068259826,9.57863771292483e-18,867,7853,negative,5.892090223924787e-16,True
hour,39,79,828,7774,0.04498269896193772,0.010059849738953266,118,4.662404208560595,2.2210740847771513,71.33605232325975,3.012801300608333e-17,867,7853,negative,1.8069275800398477e-15,True
felt,62,176,805,7677,0.07151095732410612,0.022411817139946517,238,3.3751228716174038,1.7549400245475748,70.89959077317883,3.7587591455956033e-17,867,7853,negative,2.199332485435086e-15,True
worst,25,34,842,7819,0.02883506343713956,0.004329555583853305,59,6.860095471552058,2.7782286544412744,69.77157780722084,6.658545125960105e-17,867,7853,negative,3.803297561232926e-15,True
problem,38,77,829,7776,0.04382929642445214,0.009805169998726602,115,4.657220634272492,2.2194692309730977,69.45386710695058,7.82228770689078e-17,867,7853,negative,4.317534497324421e-15,True
map,54,142,813,7711,0.06228373702422145,0.018082261556093212,196,3.625458544948727,1.8581634775237776,69.42968591304582,7.91877940317943e-17,867,7853,negative,4.317534497324421e-15,True
anything,65,193,802,7660,0.07497116493656286,0.02457659493187317,258,3.2312637349368494,1.6920985078169466,69.06307969388774,9.536398071690643e-17,867,7853,negative,5.083959771996855e-15,True
half,40,85,827,7768,0.0461361014994233,0.010823888959633262,125,4.446907298457624,2.152802330156151,68.907286062078,1.032028383716722e-16,867,7853,negative,5.382252375079165e-15,True
clunky,17,15,850,7838,0.0196078431372549,0.0019100980516999872,32,10.405548918093722,3.3792811676514707,66.8863134810554,2.876248819194068e-16,867,7853,negative,1.4681108334567168e-14,True
change,49,126,818,7727,0.05651672433679354,0.016044823634279892,175,3.6943241879365756,1.8853104726567318,65.0321729969189,7.368515016210098e-16,867,7853,negative,3.6827224008100056e-14,True
issue,37,78,830,7775,0.04267589388696655,0.009932509868839933,115,4.472499491903044,2.1610813183802575,64.32348824114071,1.0557954685693281e-15,867,7853,negative,5.169088426730241e-14,True
overwhelmingly,17,16,850,7837,0.0196078431372549,0.0020374379218133197,33,9.77366255144033,3.288899294499892,63.93681135558704,1.284745039522312e-15,867,7853,negative,6.164206699628053e-14,True
minutes,43,103,824,7750,0.049596309111880045,0.013116006621673245,146,3.950826587918897,1.9821545240579526,63.117778715420094,1.9470869751050763e-15,867,7853,negative,9.158944418190349e-14,True
trash,15,12,852,7841,0.01730103806228374,0.0015280784413599898,27,11.405818181818182,3.511698035137926,62.93092554670819,2.140843005081983e-15,867,7853,negative,9.876696863830148e-14,True
items,45,112,822,7741,0.05190311418685121,0.014262065452693238,157,3.8066950354609927,1.9285389963642614,62.570411825703836,2.5708693897360523e-15,867,7853,negative,1.163682201127696e-13,True
level,95,365,772,7488,0.10957324106113034,0.04647905259136636,460,2.532866711823587,1.3407711594623275,62.20309846572675,3.098000994703178e-15,867,7853,negative,1.3763156270912822e-13,True
until,54,155,813,7698,0.06228373702422145,0.019737679867566534,209,3.316764723901525,1.7297766775769183,60.417526553030335,7.672675489460239e-15,867,7853,negative,3.346681545311839e-13,True
need,80,287,787,7566,0.0922722029988466,0.03654654272252642,367,2.6903111111111113,1.427773017578937,60.141337215522604,8.828459922363579e-15,867,7853,negative,3.78204917031254e-13,True
grind,27,47,840,7806,0.031141868512110725,0.005984973895326626,74,5.3772190738595445,2.4268602498042706,58.727064086997835,1.8113276049643264e-14,867,7853,negative,7.623464779490209e-13,True
better,102,421,765,7432,0.11764705882352941,0.053610085317712976,523,2.3611088512381135,1.2394645538585827,56.79056015895958,4.847879503147531e-14,867,7853,negative,2.0051832634570565e-12,True
shallow,15,14,852,7839,0.01730103806228374,0.0017827581815866547,29,9.830094043887147,3.297205218803964,56.72710138087343,5.0068733899154485e-14,867,7853,negative,2.035845637696129e-12,True
let,42,107,825,7746,0.04844290657439446,0.013625366102126576,149,3.7099573197357487,1.8914025898218838,56.35722422177801,6.043083716549822e-14,867,7853,negative,2.416226306000504e-12,True
ruined,12,8,855,7845,0.01384083044982699,0.0010187189609066599,20,13.486265341905318,3.7534189829310853,56.09717990580192,6.89759823495665e-14,867,7853,negative,2.7126783878132793e-12,True
bug,18,22,849,7831,0.020761245674740483,0.0028014771424933146,40,7.580027467137532,2.9222030761841387,55.15602167682651,1.1133206699858134e-13,867,7853,negative,4.3078327214451075e-12,True
running,29,57,838,7796,0.03344867358708189,0.007258372596459952,86,4.770355966918151,2.254096925045522,54.84558376919629,1.3038140580162158e-13,867,7853,negative,4.964841151080797e-12,True
supposed,24,40,843,7813,0.02768166089965398,0.005093594804533299,64,5.603657599508222,2.4863688054148763,54.68044720976594,1.418101862406007e-13,867,7853,negative,5.315666199862517e-12,True
reasons,14,13,853,7840,0.016147635524798153,0.0016554183114733223,27,9.866757794701556,3.302576094617414,53.126035182842294,3.128186831024314e-13,867,7853,negative,1.1545415704042045e-11,True
horrible,12,9,855,7844,0.01384083044982699,0.0011460588310199923,21,12.065120428189116,3.5927704107961134,52.37600130974644,4.582903476073138e-13,867,7853,negative,1.6409530506118595e-11,True
ore,12,9,855,7844,0.01384083044982699,0.0011460588310199923,21,12.065120428189116,3.5927704107961134,52.37600130974644,4.582903476073138e-13,867,7853,negative,1.6409530506118595e-11,True
matches,27,52,840,7801,0.031141868512110725,0.006621673245893289,79,4.8619869125520525,2.281546009939726,52.291118586884494,4.785338173560483e-13,867,7853,negative,1.6882391585840586e-11,True
slow,33,75,834,7778,0.03806228373702422,0.009550490258499937,108,4.13587467611569,2.04819247025495,51.891052132040585,5.866715954817371e-13,867,7853,negative,2.0397466051604163e-11,True
negative,24,42,843,7811,0.02768166089965398,0.005348274544759965,66,5.338589211618257,2.4164585422293148,51.84650808474199,6.001330988365152e-13,867,7853,negative,2.0567418630125714e-11,True
actually,74,275,793,7578,0.0853517877739331,0.035018464281166437,349,2.5826823430390067,1.3688702101208865,51.484870690470736,7.215098245649345e-13,867,7853,negative,2.4378902382130676e-11,True
