word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
fun,1170,6928,7560,24705,0.13402061855670103,0.21901179148357727,8098,0.5520460753964113,-0.8571394112682903,308.16000087745294,5.496166813198968e-69,8730,31633,positive,1.4025403460348477e-66,True
love,415,3294,8315,28339,0.04753722794959908,0.10413176113552303,3709,0.42981872541279925,-1.2181997585346285,262.6085236806107,4.633732608404699e-59,8730,31633,positive,8.628761532948211e-57,True
great,608,4045,8122,27588,0.06964490263459336,0.12787279107261404,4653,0.5108892275268787,-0.9689175791094295,227.44544447514713,2.1501155850590043e-51,8730,31633,positive,3.086311746053446e-49,True
best,250,2161,8480,29472,0.0286368843069874,0.06831473461258812,2411,0.40276155433694666,-1.312002117636443,191.77962030739144,1.2998332793639154e-43,8730,31633,positive,1.4681723434126847e-41,True
atmosphere,76,1118,8654,30515,0.00870561282932417,0.035342838175323237,1194,0.24115926678437086,-2.0519418467324337,169.10997360094007,1.1576040811573002e-38,8730,31633,positive,1.0225502716889485e-36,True
horror,97,1223,8633,30410,0.011111111111111112,0.03866215660860494,1320,0.2806967016200685,-1.8329159835995477,164.1712552946742,1.3878742552031783e-37,8730,31633,positive,1.1521028455843253e-35,True
amazing,106,1241,8624,30392,0.012142038946162658,0.03923118262573894,1347,0.3022980757527324,-1.7259562992192146,155.63894490947675,1.0152348470810657e-35,8730,31633,positive,7.2113073158644775e-34,True
nice,239,1945,8491,29688,0.027376861397479954,0.06148642240698005,2184,0.4304058090775553,-1.2162305451739948,155.5296304499156,1.0726413067403049e-35,8730,31633,positive,7.541325105551736e-34,True
highly,51,878,8679,30755,0.00584192439862543,0.027755824613536498,929,0.20772728627432285,-2.267237359267792,146.11367912707146,1.2259965504666702e-33,8730,31633,positive,7.67919657519578e-32,True
unique,94,1077,8636,30556,0.010767468499427262,0.034046723358518,1171,0.3102989886849143,-1.6882690999918437,131.62000148437517,1.8118397116320727e-30,8730,31633,positive,1.0402979677620818e-28,True
good,1350,6583,7380,25050,0.15463917525773196,0.20810545948850884,7933,0.696255057295352,-0.5223121932843496,123.85503478054203,9.062870706070802e-29,8730,31633,positive,4.8783733722521736e-27,True
overall,268,1904,8462,29729,0.03069873997709049,0.06019030759017482,2172,0.4952816484940239,-1.0136789286236054,116.87265976263441,3.0610353654251916e-27,8730,31633,positive,1.4852488498436316e-25,True
definitely,144,1285,8586,30348,0.016494845360824743,0.04062213511206651,1429,0.39729840581976045,-1.3317050903376157,116.62559951175179,3.467119125835354e-27,8730,31633,positive,1.64747936393142e-25,True
simple,176,1428,8554,30205,0.02016036655211913,0.04514273069263111,1604,0.43627051596311184,-1.1967051181042392,111.89951497551765,3.758867527703044e-26,8730,31633,positive,1.7381608903271123e-24,True
visually,30,616,8700,31017,0.003436426116838488,0.01947333480858597,646,0.1763718774633912,-2.5033075537116436,111.73016010211599,4.0940695815952775e-26,8730,31633,positive,1.8805426278127643e-24,True
rating,51,725,8679,30908,0.00584192439862543,0.02291910346789745,776,0.25278600935075635,-1.9840114763044232,105.81713904340972,8.086317557053018e-25,8730,31633,positive,3.439180738771315e-23,True
surprisingly,9,437,8721,31196,0.0010309278350515464,0.01381468719375336,446,0.07767123938378884,-3.6864757028476025,102.32046002172379,4.722889720050401e-24,8730,31633,positive,1.9029655070846353e-22,True
familiar,15,479,8715,31154,0.001718213058419244,0.015142414567066038,494,0.11555042976241972,-3.1134054693097832,101.98885041970982,5.583514378296807e-24,8730,31633,positive,2.210943337153161e-22,True
presentation,16,485,8714,31148,0.0018327605956471936,0.015332089906110707,501,0.1214756895993331,-3.041260472444807,101.71046412662886,6.4260021070543264e-24,8730,31633,positive,2.5156337794093356e-22,True
published,24,536,8706,31097,0.0027491408934707906,0.01694433028799039,560,0.1631091145762111,-2.6160906924421474,100.76660159676126,1.0348665931601688e-23,8730,31633,positive,3.9833691770243366e-22,True
moments,47,668,8683,30965,0.005383734249713631,0.021117187746973097,715,0.25338184046385825,-1.9806149627193186,97.33271957099664,5.860387766305066e-23,8730,31633,positive,2.194460419013147e-21,True
satisfying,68,785,8662,30848,0.007789232531500573,0.024815856858344133,853,0.31055261168564796,-1.687090394273604,95.88244719857683,1.219114877564775e-22,8730,31633,positive,4.4208955296954214e-21,True
tension,24,513,8706,31120,0.0027491408934707906,0.01621724148831916,537,0.17054091865577828,-2.551810161742548,94.53873589152812,2.4034287775254354e-22,8730,31633,positive,8.535888802654768e-21,True
endings,27,527,8703,31106,0.003092783505154639,0.016659817279423388,554,0.18632341894378712,-2.4241190772332875,93.02867647695776,5.1542097652178795e-22,8730,31633,positive,1.811862514405673e-20,True
perfect,87,875,8643,30758,0.009965635738831614,0.027660986944014164,962,0.3556537716450701,-1.4914546317405315,92.0818677626385,8.316388208749406e-22,8730,31633,positive,2.8939350888021924e-20,True
offers,60,720,8670,30913,0.006872852233676976,0.022761040685360227,780,0.2993818206949862,-1.7399414753262648,91.13464763118317,1.34220777948362e-21,8730,31633,positive,4.533240980706932e-20,True
genre,95,914,8635,30719,0.010882016036655211,0.028893876647804507,1009,0.3714893057030373,-1.4286074152978336,91.0699651287291,1.3868080063890222e-21,8730,31633,positive,4.6280181206281716e-20,True
succeeds,3,350,8727,31283,0.0003436426116838488,0.011064394777605666,353,0.03579360989804228,-4.804154138354202,90.70794312653467,1.665234047519791e-21,8730,31633,positive,5.489695017900172e-20,True
addictive,14,429,8716,31204,0.0016036655211912943,0.013561786741693801,443,0.12085925913460661,-3.0486000914083715,90.1300697800363,2.230065221612445e-21,8730,31633,positive,7.28206131607097e-20,True
excellent,23,480,8707,31153,0.002634593356242841,0.015174027123573483,503,0.1749797664469881,-2.5147399873111707,87.41553810004231,8.795678136303914e-21,8730,31633,positive,2.742182007200632e-19,True
driven,27,504,8703,31129,0.003092783505154639,0.01593272847975216,531,0.19496189376897063,-2.3587359249781756,86.88358925050152,1.1510049410201373e-20,8730,31633,positive,3.5722630827156517e-19,True
memorable,8,374,8722,31259,0.0009163802978235968,0.01182309613378434,382,0.08134074629361553,-3.619877962324089,86.81785347347295,1.1899050340285653e-20,8730,31633,positive,3.6764330423573163e-19,True
developed,49,633,8681,31000,0.00561282932416953,0.020010748269212533,682,0.2790181845736889,-1.841568944376422,85.38282672760151,2.4584653268596802e-20,8730,31633,positive,7.4293096938873665e-19,True
storytelling,19,444,8711,31189,0.0021764032073310425,0.014035975089305472,463,0.15706460184412896,-2.670570022455528,84.8637463018197,3.196507345499714e-20,8730,31633,positive,9.534171259953693e-19,True
seeking,4,334,8726,31299,0.0004581901489117984,0.010558593873486549,338,0.048251819942297304,-4.373272831389647,84.05576185998092,4.810144738819396e-20,8730,31633,positive,1.3866902615257588e-18,True
delivers,4,333,8726,31300,0.0004581901489117984,0.010526981316979104,337,0.048398049299420653,-4.3689072894394485,83.77619626628636,5.540796138182533e-20,8730,31633,positive,1.5710323206616317e-18,True
solid,82,812,8648,30821,0.009392898052691867,0.025669395884045144,894,0.36186248393451953,-1.4664865507226104,83.68860918605289,5.79179899022524e-20,8730,31633,positive,1.635471108305406e-18,True
traditional,4,328,8726,31305,0.0004581901489117984,0.010368918534441881,332,0.04914255036422674,-4.346883458197045,82.37865331117582,1.1236075976624048e-19,8730,31633,positive,3.1216356241507937e-18,True
action,66,707,8664,30926,0.007560137457044674,0.022350077450763443,773,0.3354922313073512,-1.575648735270019,79.67203152894763,4.420135359096828e-19,8730,31633,positive,1.1713358701606594e-17,True
environments,23,446,8707,31187,0.002634593356242841,0.014099200202320361,469,0.18850960303428685,-2.407290075918323,78.30256147802419,8.840714529530488e-19,8730,31633,positive,2.307292541987313e-17,True
story,519,2800,8211,28833,0.05945017182130584,0.08851515822084532,3319,0.6513656329343247,-0.6184604919837383,76.58666937027334,2.107575166446354e-18,8730,31633,positive,5.398212972793821e-17,True
beautiful,51,609,8679,31024,0.00584192439862543,0.01925204691303386,660,0.30202549348622615,-1.7272577646288363,76.4955717144165,2.2070733739676466e-18,8730,31633,positive,5.611341530124386e-17,True
relaxing,34,505,8696,31128,0.0038946162657502864,0.015964341036259603,539,0.24429334015304427,-2.0333135610371738,75.64829641603193,3.3896828477465854e-18,8730,31633,positive,8.341041007490705e-17,True
different,320,1916,8410,29717,0.03665521191294387,0.06056965826826415,2236,0.5908941174977987,-0.7590284583022152,74.77463318539282,5.27633119223875e-18,8730,31633,positive,1.2845908803719077e-16,True
approach,27,452,8703,31181,0.003092783505154639,0.01428887554136503,479,0.21772945220805626,-2.1993915211667865,73.13693594647553,1.2095956244656529e-17,8730,31633,positive,2.873832362954603e-16,True
allowing,24,432,8706,31201,0.0027491408934707906,0.013656624411216135,456,0.20300738701302495,-2.300395869875142,72.87411104931913,1.3818903148629747e-17,8730,31633,positive,3.271898374366287e-16,True
challenge,65,671,8665,30962,0.0074455899198167235,0.02121202541649543,736,0.3485280014855084,-1.520653524930186,72.42892879226717,1.7315695467070024e-17,8730,31633,positive,4.0444386011822295e-16,True
detailed,21,411,8709,31222,0.0024054982817869417,0.012992760724559795,432,0.18730228308259922,-2.4165596097651907,72.42883290541724,1.7316536826542202e-17,8730,31633,positive,4.0444386011822295e-16,True
awesome,66,675,8664,30958,0.007560137457044674,0.021338475642525213,741,0.3517488579000071,-1.507382355731655,72.07375376883749,2.073027133440607e-17,8730,31633,positive,4.809143754008681e-16,True
narrative,60,641,8670,30992,0.006872852233676976,0.02026364872127209,701,0.33710964733222726,-1.5687101802344567,71.88830672151782,2.277294420906453e-17,8730,31633,positive,5.265288107397806e-16,True
complexity,14,357,8716,31276,0.0016036655211912943,0.011285682673157778,371,0.14553517382634573,-2.78056022029572,70.42433016940345,4.7826416852011444e-17,8730,31633,positive,1.0804065970831438e-15,True
remains,17,376,8713,31257,0.0019473081328751432,0.011886321246799229,393,0.16673803247254665,-2.5843448783776775,70.09675145191478,5.646588213954572e-17,8730,31633,positive,1.2672636089298697e-15,True
journey,13,348,8717,31285,0.0014891179839633447,0.011001169664590775,361,0.1390215512506177,-2.8466195466700888,69.83892695192063,6.435032911189824e-17,8730,31633,positive,1.4395252194187626e-15,True
music,136,1025,8594,30608,0.015578465063001146,0.032402870420130875,1161,0.4740437421583015,-1.0769079056304853,69.32295481500363,8.359102948099452e-17,8730,31633,positive,1.8578780423356527e-15,True
fans,39,508,8691,31125,0.004467353951890034,0.016059178705781937,547,0.2781811771364681,-1.8459032902860841,68.76963551168438,1.1066352622198762e-16,8730,31633,positive,2.428253807864633e-15,True
tone,30,447,8700,31186,0.003436426116838488,0.014130812758827806,477,0.24430323949146954,-2.0332551008389195,67.00557861831668,2.7073991278090114e-16,8730,31633,positive,5.7931614877652456e-15,True
role,29,440,8701,31193,0.0033218785796105383,0.013909524863275693,469,0.24007452888046296,-2.0584457484083463,66.78154841329007,3.0332400973091075e-16,8730,31633,positive,6.450316132857948e-15,True
indie,60,613,8670,31020,0.006872852233676976,0.019378497139063637,673,0.3528137145658773,-1.5030214524964216,65.26105428896682,6.560514874046649e-16,8730,31633,positive,1.3493118651397435e-14,True
experience,443,2374,8287,29259,0.05074455899198167,0.07504820914867386,2817,0.659424090869968,-0.6007215006546824,62.248737863361036,3.027028903662902e-15,8730,31633,positive,5.89159015430435e-14,True
easy,241,1482,8489,30151,0.027605956471935852,0.046849808744033127,1723,0.5785611171105424,-0.7894587264016647,62.00114308215506,3.432579997396684e-15,8730,31633,positive,6.606278263146132e-14,True
environmental,13,318,8717,31315,0.0014891179839633447,0.010052792969367433,331,0.15226206871091955,-2.71537151024124,61.69118801833348,4.017743355948885e-15,8730,31633,positive,7.647030862565695e-14,True
emotional,17,342,8713,31291,0.0019473081328751432,0.010811494325546107,359,0.18348950093801086,-2.446230578837964,60.98428487776153,5.7532230250677106e-15,8730,31633,positive,1.068455704655432e-13,True
quiet,6,264,8724,31369,0.0006872852233676976,0.008345714917965416,270,0.08835980114231905,-3.500466017927542,60.39280544284727,7.769643551899461e-15,8730,31633,positive,1.4237458529943426e-13,True
immersion,53,553,8677,31080,0.006071019473081329,0.01748174374861695,606,0.3462019671574801,-1.5303141726083502,60.23906963243526,8.400804606618885e-15,8730,31633,positive,1.5272175129183143e-13,True
reinforces,0,212,8730,31421,0.0,0.006701861979578288,212,0.008468351317389678,-6.883703162536438,58.81617735208095,1.7311209357997178e-14,8730,31633,positive,3.114209725237613e-13,True
favorite,48,518,8682,31115,0.005498281786941581,0.016375304270856383,566,0.3352161779213722,-1.5768363180346938,58.54520745121395,1.9867303079695084e-14,8730,31633,positive,3.5554732004960813e-13,True
exploration,33,431,8697,31202,0.003780068728522337,0.01362501185470869,464,0.2785216513449177,-1.844138612658474,58.355862806384565,2.1874381208852868e-14,8730,31633,positive,3.9045203763988665e-13,True
fresh,21,351,8709,31282,0.0024054982817869417,0.01109600733411311,372,0.21969560061661547,-2.186422114667093,56.58786275861231,5.3742539046720777e-14,8730,31633,positive,9.30367070431925e-13,True
complex,53,536,8677,31097,0.006071019473081329,0.01694433028799039,589,0.3573673813890784,-1.4845201360977387,56.253183330863536,6.371459380045337e-14,8730,31633,positive,1.0839346945311698e-12,True
spectacle,2,217,8728,31416,0.0002290950744558992,0.006859924762115512,219,0.041371277470619104,-4.595226683686507,55.74540186769553,8.249099308152226e-14,8730,31633,positive,1.3695492586305744e-12,True
leans,8,261,8722,31372,0.0009163802978235968,0.008250877248443082,269,0.11691100190875776,-3.0965173938257853,55.596450020718,8.898417894471898e-14,8730,31633,positive,1.4667487869117553e-12,True
lighting,14,302,8716,31331,0.0016036655211912943,0.009546992065248316,316,0.17229857120034056,-2.53701735693872,55.5758131103088,8.992324990850498e-14,8730,31633,positive,1.4786901953928384e-12,True
engaging,93,743,8637,30890,0.010652920962199313,0.023488129485031456,836,0.4497462134446437,-1.152816959864482,55.57043407172066,9.016964496979251e-14,8730,31633,positive,1.4792115567663582e-12,True
scares,25,371,8705,31262,0.0028636884306987398,0.011728258464262006,396,0.24649683493201688,-2.0203589726541504,55.34223287060445,1.012692338545977e-13,8730,31633,positive,1.6573515944374779e-12,True
atmospheric,16,314,8714,31319,0.0018327605956471936,0.009926342743337653,330,0.1885539523924501,-2.4069507028950596,55.269755659416745,1.0507293179276124e-13,8730,31633,positive,1.7155272513083528e-12,True
pacing,36,435,8694,31198,0.004123711340206186,0.013751462080738469,471,0.300741808680006,-1.7334026517093528,54.98965835582989,1.2116568921406e-13,8730,31633,positive,1.95510913040954e-12,True
gradually,5,235,8725,31398,0.000572737686139748,0.0074289507792495175,240,0.0840408345064695,-3.572765702057344,54.41292066632757,1.6249095940097134e-13,8730,31633,positive,2.591580347853455e-12,True
encouraging,6,241,8724,31392,0.0006872852233676976,0.007618626118294187,247,0.096845975381434,-3.3681640936347947,54.04530902965271,1.959192930627355e-13,8730,31633,positive,3.09606405780332e-12,True
chill,23,350,8707,31283,0.002634593356242841,0.011064394777605666,373,0.2408805271006556,-2.0536103247681377,53.102200160847,3.1663759112568926e-13,8730,31633,positive,4.9246794646862275e-12,True
fmv,28,380,8702,31253,0.0032073310423825887,0.012012771472829007,408,0.26899538361240916,-1.8943466808290028,53.016240981854224,3.308018305630294e-13,8730,31633,positive,5.121853061975893e-12,True
unsettling,7,244,8723,31389,0.0008018327605956472,0.007713463787816521,251,0.1103763510241886,-3.179496998087522,52.88726590366554,3.5325236594944366e-13,8730,31633,positive,5.45719462195441e-12,True
reinforcing,2,206,8728,31427,0.0002290950744558992,0.00651218664053362,208,0.0435903314696048,-4.519848015499266,52.684380246976126,3.91693870238248e-13,8730,31633,positive,6.010625313900955e-12,True
challenging,31,396,8699,31237,0.0035509736540664375,0.012518572376948124,427,0.2852655575065663,-1.809622526075326,52.565155946453295,4.162083888640692e-13,8730,31633,positive,6.3726128872743036e-12,True
deeply,14,290,8716,31343,0.0016036655211912943,0.00916764138715898,304,0.17948461249180905,-2.4780679301333555,52.36783801758179,4.601993594145803e-13,8730,31633,positive,7.014985810545262e-12,True
tense,8,248,8722,31385,0.0009163802978235968,0.007839914013846299,256,0.12307804984103532,-3.022354605275812,52.03955121300824,5.439390337902086e-13,8730,31633,positive,8.236791083108873e-12,True
thoughtful,5,226,8725,31407,0.000572737686139748,0.007144437770682515,231,0.0874052518923057,-3.51613622067419,51.92670313256952,5.761156439341088e-13,8730,31633,positive,8.666892547393032e-12,True
relying,5,226,8725,31407,0.000572737686139748,0.007144437770682515,231,0.0874052518923057,-3.51613622067419,51.92670313256952,5.761156439341088e-13,8730,31633,positive,8.666892547393032e-12,True
