word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
fun,867,5473,5739,19514,0.13124432334241598,0.21903389762676592,6340,0.5388746193686004,-0.8919784565236809,251.03091152450847,1.547723885975915e-56,6606,24987,positive,3.2977573941901104e-54,True
love,345,2748,6261,22239,0.0522252497729337,0.10997718813783167,3093,0.4464768489795404,-1.163342725203417,197.31127559609772,8.064754609825805e-45,6606,24987,positive,1.0935074091413809e-42,True
great,454,3265,6152,21722,0.06872540115046927,0.13066794733261297,3719,0.49140818169041084,-1.0250062168659198,193.01727774728724,6.978322637785634e-44,6606,24987,positive,9.05058105587589e-42,True
best,179,1646,6427,23341,0.027096578867696033,0.06587425461239844,1825,0.3959035484555656,-1.3367790966875641,144.34261780660717,2.9900827178372684e-33,6606,24987,positive,2.3472149335022557e-31,True
nice,196,1681,6410,23306,0.02966999697244929,0.0672749829911554,1877,0.424864884572388,-1.2349239862250951,132.214715383886,1.3428102544418512e-30,6606,24987,positive,9.315355788372192e-29,True
horror,84,1046,6522,23941,0.012715712988192553,0.0418617681194221,1130,0.2963839932960202,-1.7544605602531413,128.69213438404827,7.91973486726058e-30,6606,24987,positive,5.135775893269198e-28,True
atmosphere,64,917,6542,24070,0.009688162276718135,0.03669908352343219,981,0.2586396012656712,-1.9509849064542548,126.69562987492583,2.1656589459992897e-29,6606,24987,positive,1.3458667991491419e-27,True
amazing,79,993,6527,23994,0.011958825310323948,0.039740665145875854,1072,0.2941467682409812,-1.7653919092848698,123.0189500036555,1.3812337822704724e-28,6606,24987,positive,8.158852222797662e-27,True
unique,64,870,6542,24117,0.009688162276718135,0.034818105414815705,934,0.2731363459481669,-1.8723067901938513,115.00631915043145,7.844708634231902e-27,6606,24987,positive,4.105397518581362e-25,True
highly,43,712,6563,24275,0.006509234029669997,0.028494817304998598,755,0.22580683444728222,-2.1468389423726215,108.26457657811252,2.351906336678017e-25,6606,24987,positive,1.1407701792374837e-23,True
good,1017,5209,5589,19778,0.1539509536784741,0.20846840356985633,6226,0.6911284433338905,-0.532974240510105,98.13781730294505,3.9025429834799405e-23,6606,24987,positive,1.5838483972409066e-21,True
definitely,120,1118,6486,23869,0.018165304268846504,0.04474326649857926,1238,0.396445924741531,-1.334803999267192,98.0248150512443,4.1317224933317815e-23,6606,24987,positive,1.6655308375146896e-21,True
familiar,11,424,6595,24563,0.0016651528913109294,0.016968823788369954,435,0.10089337958323477,-3.3090965840287754,90.11061611084028,2.2521004776413008e-21,6606,24987,positive,8.045527814136527e-20,True
endings,26,496,6580,24491,0.003935815924916743,0.019850322167527114,522,0.1986475038819338,-2.331717429625361,81.43369808205529,1.8124106670792534e-19,6606,24987,positive,5.661173842824516e-18,True
overall,219,1537,6387,23450,0.033151680290644865,0.06151198623284108,1756,0.5241319014207755,-0.9319981732404979,80.05449291271972,3.6422501692642795e-19,6606,24987,positive,1.103028655321355e-17,True
solid,64,719,6542,24268,0.009688162276718135,0.02877496298074999,783,0.3325279225505548,-1.5884526052995684,78.75105324392455,7.0451162199466085e-19,6606,24987,positive,2.0911026551344013e-17,True
moments,43,578,6563,24409,0.006509234029669997,0.02313202865490055,621,0.27964643524048916,-1.8383241550292615,74.91879461169212,4.904785759994304e-18,6606,24987,positive,1.3610210160058613e-16,True
surprisingly,6,328,6600,24659,0.0009082652134423251,0.013126825949493737,334,0.07392399242850589,-3.7578135149841354,74.56965095891582,5.853619285198072e-18,6606,24987,positive,1.609340675368281e-16,True
genre,73,751,6533,24236,0.011050560096881623,0.030055628927042062,824,0.36281260086393374,-1.4627035318318062,74.29196642350018,6.737714372480084e-18,6606,24987,positive,1.8439084378998247e-16,True
addictive,9,348,6597,24639,0.0013623978201634877,0.013927242165926283,357,0.10180598602901081,-3.296105702820791,73.83021772494834,8.513332448447921e-18,6606,24987,positive,2.2674348833678704e-16,True
tension,18,402,6588,24585,0.0027247956403269754,0.016088365950294153,420,0.171513511449698,-2.543605861733293,71.13128749653117,3.342276691376916e-17,6606,24987,positive,8.485116059895609e-16,True
simple,150,1142,6456,23845,0.022706630336058128,0.045703765958298316,1292,0.4865075329070614,-1.039465951538684,70.4484709499622,4.724472167143485e-17,6606,24987,positive,1.1845393734753291e-15,True
excellent,18,392,6588,24595,0.0027247956403269754,0.01568815784207788,410,0.17595482187888664,-2.506723044536992,68.5452103236351,1.24001890317022e-16,6606,24987,positive,2.9951225815034545e-15,True
