word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
fmv,0,44,590,436,0.0,0.09166666666666666,44,0.008305663644407234,-6.911688836734115,56.40269655620533,5.904933431831757e-14,590,480,positive,1.5648073594354158e-11,True
although,0,38,590,442,0.0,0.07916666666666666,38,0.009732012272232424,-6.683046145121699,48.42821382428941,3.426034138587489e-12,590,480,positive,3.6315961869027383e-10,True
fan,0,38,590,442,0.0,0.07916666666666666,38,0.009732012272232424,-6.683046145121699,48.42821382428941,3.426034138587489e-12,590,480,positive,3.6315961869027383e-10,True
choices,0,37,590,443,0.0,0.07708333333333334,37,0.010014112334180073,-6.641821645591975,47.108139722491124,6.717612960440811e-12,590,480,positive,5.933891448389383e-10,True
various,0,36,590,444,0.0,0.075,36,0.01031166993376869,-6.5995781994474045,45.79061895551257,1.3159221615456822e-11,590,480,positive,9.963410651703022e-10,True
kinetic,0,35,590,445,0.0,0.07291666666666667,35,0.010625991341784833,-6.556258747379918,44.47564412238325,2.5754131872704425e-11,590,480,positive,1.7062112365666682e-09,True
amazing,2,37,588,443,0.003389830508474576,0.07708333333333334,39,0.05024072500708015,-4.314998906345899,40.92721137634953,1.5800573204491528e-10,590,480,positive,8.37430379838051e-09,True
knight,0,30,590,450,0.0,0.0625,30,0.012506766979914215,-6.321147291146505,37.93870192307692,7.300260248883097e-10,590,480,positive,2.7636699513628866e-08,True
ritter,0,30,590,450,0.0,0.0625,30,0.012506766979914215,-6.321147291146505,37.93870192307692,7.300260248883097e-10,590,480,positive,2.7636699513628866e-08,True
markus,0,30,590,450,0.0,0.0625,30,0.012506766979914215,-6.321147291146505,37.93870192307692,7.300260248883097e-10,590,480,positive,2.7636699513628866e-08,True
gabriel,0,30,590,450,0.0,0.0625,30,0.012506766979914215,-6.321147291146505,37.93870192307692,7.300260248883097e-10,590,480,positive,2.7636699513628866e-08,True
adventure,5,40,585,440,0.00847457627118644,0.08333333333333333,45,0.1021707731072946,-3.2909455358281288,36.815090410791115,1.2988102767907042e-09,590,480,positive,4.589129644660488e-08,True
chinese,0,29,590,451,0.0,0.06041666666666667,29,0.012959428235192813,-6.26985412127814,36.63884886327249,1.4216996026869407e-09,590,480,positive,4.709379933900491e-08,True
found,12,52,578,428,0.020338983050847456,0.10833333333333334,64,0.17635922130304152,-2.5034110828863883,36.44254090569577,1.5723369807202e-09,590,480,positive,4.9019917634218e-08,True
click,5,39,585,441,0.00847457627118644,0.08125,44,0.10499518965722254,-3.2516048623925546,35.55056235301273,2.485152922379371e-09,590,480,positive,7.317394715894815e-08,True
help,0,28,590,452,0.0,0.058333333333333334,28,0.013443855192596223,-6.216909281591331,35.34149072296865,2.7667472356927683e-09,590,480,positive,7.717768604827196e-08,True
course,2,31,588,449,0.003389830508474576,0.06458333333333334,33,0.060619546600855015,-4.044073128136551,33.158506245628075,8.494396254975646e-09,590,480,positive,2.0463772796077695e-07,True
community,0,25,590,455,0.0,0.052083333333333336,25,0.015125101691819827,-6.046911347566602,31.46431419457735,2.0313952715013843e-08,590,480,positive,4.1409211303682064e-07,True
writing,0,25,590,455,0.0,0.052083333333333336,25,0.015125101691819827,-6.046911347566602,31.46431419457735,2.0313952715013843e-08,590,480,positive,4.1409211303682064e-07,True
throughout,0,25,590,455,0.0,0.052083333333333336,25,0.015125101691819827,-6.046911347566602,31.46431419457735,2.0313952715013843e-08,590,480,positive,4.1409211303682064e-07,True
lives,0,24,590,456,0.0,0.05,24,0.01577701359968204,-5.9860320435281436,30.176864244741875,3.9438618679700256e-08,590,480,positive,6.532021218825355e-07,True
young,0,24,590,456,0.0,0.05,24,0.01577701359968204,-5.9860320435281436,30.176864244741875,3.9438618679700256e-08,590,480,positive,6.532021218825355e-07,True
parents,0,24,590,456,0.0,0.05,24,0.01577701359968204,-5.9860320435281436,30.176864244741875,3.9438618679700256e-08,590,480,positive,6.532021218825355e-07,True
twists,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
finish,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
reader,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
spoil,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
attention,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
paced,0,23,590,457,0.0,0.04791666666666667,23,0.016484407372043167,-5.92275416790339,28.891873607131487,7.65333309301675e-08,590,480,positive,1.0488607676445568e-06,True
own,17,53,573,427,0.0288135593220339,0.11041666666666666,70,0.24382990165323598,-2.036053035698745,28.826530821226797,7.915930321845713e-08,590,480,positive,1.0488607676445568e-06,True
humour,0,22,590,458,0.0,0.04583333333333333,22,0.01725468059083639,-5.856868422131778,27.609335241730278,1.484605300604639e-07,590,480,positive,1.7485351318232414e-06,True
classics,0,22,590,458,0.0,0.04583333333333333,22,0.01725468059083639,-5.856868422131778,27.609335241730278,1.484605300604639e-07,590,480,positive,1.7485351318232414e-06,True
aidventure,0,22,590,458,0.0,0.04583333333333333,22,0.01725468059083639,-5.856868422131778,27.609335241730278,1.484605300604639e-07,590,480,positive,1.7485351318232414e-06,True
story,55,99,535,381,0.09322033898305085,0.20625,154,0.3973790521233619,-1.3314122721092683,27.443890791365764,1.617189300947173e-07,590,480,positive,1.8632833250043514e-06,True
take,9,39,581,441,0.015254237288135594,0.08125,48,0.1826028276935468,-2.45321898855827,26.904008917169723,2.1381491779402272e-07,590,480,positive,2.301004397575442e-06,True
