word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
love,70,546,2054,6100,0.03295668549905838,0.08215467950647005,616,0.38305244306731234,-1.3843861722574782,59.65650603082896,1.1294526393269192e-14,2124,6646,positive,6.149000811412516e-13,True
fun,303,1455,1821,5191,0.1426553672316384,0.21892867890460427,1758,0.5943060733124603,-0.750721970723262,58.42502016886665,2.111880767386636e-14,2124,6646,positive,1.1071730467539938e-12,True
visually,8,212,2116,6434,0.003766478342749529,0.031898886548299726,220,0.12160642570281124,-3.039708631857074,52.08821417946709,5.306245901173587e-13,2124,6646,positive,2.3110741763419117e-11,True
best,71,515,2053,6131,0.033427495291902073,0.07749021968101114,586,0.41414211548167035,-1.271802172288208,50.11801917638538,1.44771457902697e-12,2124,6646,positive,5.845147831162017e-11,True
presentation,1,161,2123,6485,0.00047080979284369113,0.024225097803189887,162,0.02836677283035703,-5.139654159235301,50.09348025642034,1.4659325185888493e-12,2124,6646,positive,5.845147831162017e-11,True
depth,11,221,2113,6425,0.005178907721280603,0.03325308456214264,232,0.15784425714302497,-2.6634263229409108,49.25886148555601,2.243177260158047e-12,2124,6646,positive,8.699225785626618e-11,True
simple,26,286,2098,6360,0.01224105461393597,0.043033403551008126,312,0.28035191762087186,-1.834689156944521,44.481334369609215,2.5679386360968966e-11,2124,6646,positive,8.654564617607517e-10,True
rating,5,167,2119,6479,0.0023540489642184556,0.025127896479085164,172,0.10038202476647196,-3.316427143347681,43.41715599330867,4.4229332569617864e-11,2124,6646,positive,1.4068903427481816e-09,True
atmosphere,12,201,2112,6445,0.005649717514124294,0.030243755642491724,213,0.18927569853319043,-2.401438902315057,41.08402561049644,1.458233053029991e-10,2124,6646,positive,4.391763588433941e-09,True
story,63,445,2061,6201,0.029661016949152543,0.06695756846223293,508,0.4287848436122347,-1.221674183569091,41.03013031048922,1.4990038822311748e-10,2124,6646,positive,4.467031569048901e-09,True
curve,4,148,2120,6498,0.0018832391713747645,0.022269034005416792,152,0.09286689102770215,-3.4286918521973972,39.2753137606943,3.6806548656984244e-10,2124,6646,positive,1.0152631218228357e-08,True
rough,9,178,2115,6468,0.00423728813559322,0.02678302738489317,187,0.1627331149902646,-2.6194202361879797,39.20691611210849,3.811875765509654e-10,2124,6646,positive,1.0376365665536376e-08,True
fans,3,141,2121,6505,0.0014124293785310734,0.02121576888353897,144,0.07584889350074828,-3.720728055480755,39.085832164379525,4.0557655285390303e-10,2124,6646,positive,1.0935116391708567e-08,True
