word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
great,82,1265,785,6588,0.09457900807381776,0.1610849356933656,1347,0.5468046006728533,-0.8709027134284157,26.441133014271976,2.7169278779806456e-07,867,7853,positive,3.8116432627342506e-06,True
love,61,952,806,6901,0.07035755478662054,0.12122755634789252,1013,0.5525215888621486,-0.8558972583726859,19.678857343406044,9.160934115860304e-06,867,7853,positive,9.31232243387664e-05,True
highly,7,281,860,7572,0.008073817762399077,0.035782503501846426,288,0.23446135554631276,-2.09257794082918,18.77067751284355,1.4741628944270322e-05,867,7853,positive,0.00013868693269531175,True
friends,5,246,862,7607,0.0057670126874279125,0.03132560804787979,251,0.1968015992003998,-2.34518615089155,18.244807697857837,1.942547550274666e-05,867,7853,positive,0.00017786914401179098,True
favorite,3,205,864,7648,0.0034602076124567475,0.026104673373233158,208,0.1506841218712137,-2.7304006919166453,17.194929045489967,3.373356145479434e-05,867,7853,positive,0.00029430780572997926,True
amazing,18,399,849,7454,0.020761245674740483,0.05080860817521966,417,0.406359185002442,-1.299172590788175,15.48149154503221,8.331709891743548e-05,867,7853,positive,0.0006468534637635202,True
addictive,1,147,866,7706,0.0011534025374855825,0.018718960906659875,148,0.0904456854479838,-3.4668045065109774,14.439468952368793,0.0001447368930433997,867,7853,positive,0.0010272893680802245,True
fantastic,3,179,864,7674,0.0034602076124567475,0.022793836750286515,182,0.1730966585093546,-2.530350219972027,14.28138768037758,0.00015741369880657377,867,7853,positive,0.0011139689186931282,True
fun,169,1984,698,5869,0.19492502883506344,0.25264230230485163,2153,0.7177171035438752,-0.4785127936510018,13.988519349828735,0.00018393029616616533,867,7853,positive,0.0012535476718824733,True
cute,33,561,834,7292,0.03806228373702422,0.07143766713357952,594,0.5213689258902185,-0.9396234955198874,13.701257974395547,0.0002143108852832379,867,7853,positive,0.0014419002818318884,True
soundtrack,8,239,859,7614,0.00922722029988466,0.030434228957086463,247,0.3144190983494069,-1.6692392428851472,12.758389234773894,0.00035441597128954284,867,7853,positive,0.002231611325783762,True
easy,32,513,835,7340,0.03690888119953864,0.06532535336813956,545,0.5560605716276921,-0.846686050738541,10.760370794510218,0.0010369660583242997,867,7853,positive,0.005602886427747736,True
perfect,13,285,854,7568,0.014994232987312572,0.03629186298229976,298,0.41881806322559356,-1.2556044292088688,10.730062068847783,0.0010540891071256495,867,7853,positive,0.00568260622021221,True
beautiful,11,254,856,7599,0.012687427912341407,0.03234432700878645,265,0.4009292168864697,-1.3185805401541109,10.238626740811684,0.0013752993774291762,867,7853,positive,0.007188111560898896,True
unique,19,351,848,7502,0.02191464821222607,0.0446962944097797,370,0.4905275898979959,-1.0275938112672995,9.973628469217086,0.0015879823981895596,867,7853,positive,0.008175042431881446,True
best,33,513,834,7340,0.03806228373702422,0.06532535336813956,546,0.5738569702513852,-0.8012368946106339,9.887657384242384,0.0016639106262060215,867,7853,positive,0.008493024664400523,True
awesome,9,213,858,7640,0.010380622837370242,0.02712339233413982,222,0.3960109607874963,-1.3363877331306437,8.821776994506726,0.002976566586851552,867,7853,positive,0.013919655442216126,True
relaxing,8,199,859,7654,0.00922722029988466,0.025340634152553165,207,0.3794433728299807,-1.39804349734437,8.747688790579572,0.003099946878412907,867,7853,positive,0.01441234992502435,True
sessions,0,77,867,7776,0.0,0.009805169998726602,77,0.05783396857859998,-4.111939086231564,8.576818052895153,0.003404698297585168,867,7853,positive,0.01558754048837179,True
racing,5,156,862,7697,0.0057670126874279125,0.019865019737679866,161,0.3136454137148678,-1.6727936279160351,8.563232275079807,0.0034301987138436046,867,7853,positive,0.0156743746943063,True
art,38,545,829,7308,0.04382929642445214,0.06940022921176621,583,0.6218388270738339,-0.6853873947763292,8.18335610969614,0.004227647195170449,867,7853,positive,0.018875186221869903,True
challenging,13,256,854,7597,0.014994232987312572,0.032599006749013115,269,0.4679560222968187,-1.095555140710068,8.094158319759247,0.004440815635023302,867,7853,positive,0.01940531276579399,True
delivers,0,70,867,7783,0.0,0.008913790907933273,70,0.06363357655282359,-3.974067978604512,7.790797522981903,0.005251301043138613,867,7853,positive,0.022456098400159594,True
gem,1,87,866,7766,0.0011534025374855825,0.011078568699859926,88,0.1536526255049048,-2.7022556760167267,7.699324934299261,0.00552414821119845,867,7853,positive,0.023497219075647308,True
solid,11,222,856,7631,0.012687427912341407,0.02826945116515981,233,0.4605219832477354,-1.1186580691559636,7.2896848450049,0.00693516408901921,867,7853,positive,0.028685273533719115,True
masterpiece,1,83,866,7770,0.0011534025374855825,0.010569209219406597,84,0.16109615736789548,-2.6340060130861964,7.255950758655966,0.007066644847396447,867,7853,positive,0.029178796882795312,True
arcade,5,141,862,7712,0.0057670126874279125,0.01795492168597988,146,0.34757003123879754,-1.5246244018233364,7.045198771209837,0.007947800413869192,867,7853,positive,0.032410624877955686,True
music,37,517,830,7336,0.04267589388696655,0.0658347128485929,554,0.6401329738502212,-0.6435564697942371,7.038576822082823,0.007977239553669344,867,7853,positive,0.032410624877955686,True
blast,0,62,867,7791,0.0,0.007895071947026613,62,0.07185244956772334,-3.7988188484161696,6.894044668143739,0.008648336760689046,867,7853,positive,0.03492821530116671,True
strategy,6,153,861,7700,0.006920415224913495,0.01948300012733987,159,0.37850238486391247,-1.4016257045297231,6.883472445457667,0.008699638448857376,867,7853,positive,0.035076357376149316,True
colorful,1,79,866,7774,0.0011534025374855825,0.010059849738953266,80,0.16928872388376576,-2.5624422146175134,6.813597043330213,0.009046634938540183,867,7853,positive,0.03617146202926316,True
brain,3,109,864,7744,0.0034602076124567475,0.013880045842353242,112,0.286340191891742,-1.8041979077033352,6.686099755096063,0.009716755918260022,867,7853,positive,0.03833963396037137,True
positioning,0,60,867,7793,0.0,0.007640392206799949,60,0.07424679067330364,-3.751527523184902,6.670115332279128,0.009804284375212281,867,7853,positive,0.03862147490334033,True
forward,8,176,859,7677,0.00922722029988466,0.022411817139946517,184,0.4301779643280318,-1.2169944696356652,6.571018036964434,0.010365264380172259,867,7853,positive,0.04032287472246457,True
excellent,7,163,860,7690,0.008073817762399077,0.020756398828473195,170,0.40996540308866725,-1.2864259288113158,6.570091799438569,0.010370660151630113,867,7853,positive,0.04032287472246457,True
familiar,1,76,866,7777,0.0011534025374855825,0.00967783012861327,77,0.17599538372763993,-2.5063905067099213,6.482557742582661,0.010893811188537205,867,7853,positive,0.04201648398922951,True
offers,3,106,864,7747,0.0034602076124567475,0.013498026232013243,109,0.2945201573815362,-1.7635617173369378,6.373379518442453,0.011584477352639547,867,7853,positive,0.0445627452681584,True
traditional,1,75,866,7778,0.0011534025374855825,0.009550490258499937,76,0.17834937691787392,-2.487221919279237,6.372358631634448,0.011591143412809854,867,7853,positive,0.0445627452681584,True
fairy,0,55,867,7798,0.0,0.007003692856233286,55,0.08098761585793286,-3.626154873213247,6.110744244594247,0.013436253852408892,867,7853,positive,0.05087114982983967,False
bullet,3,103,864,7750,0.0034602076124567475,0.013116006621673245,106,0.30317432376928943,-1.7217805199379865,6.0622924237039575,0.01380983074758561,867,7853,positive,0.05144376391841286,False
ride,0,54,867,7799,0.0,0.006876352986119954,54,0.08248420273378632,-3.5997383470211592,5.998947484396899,0.014314415584541494,867,7853,positive,0.0528312045958693,False
platformers,0,54,867,7799,0.0,0.006876352986119954,54,0.08248420273378632,-3.5997383470211592,5.998947484396899,0.014314415584541494,867,7853,positive,0.0528312045958693,False
tail,0,54,867,7799,0.0,0.006876352986119954,54,0.08248420273378632,-3.5997383470211592,5.998947484396899,0.014314415584541494,867,7853,positive,0.0528312045958693,False
metroidvania,2,87,865,7766,0.002306805074971165,0.011078568699859926,89,0.2563835932986713,-1.9636241520569897,5.946944655744057,0.014742817433018947,867,7853,positive,0.054162356848104824,False
surprisingly,2,87,865,7766,0.002306805074971165,0.011078568699859926,89,0.2563835932986713,-1.9636241520569897,5.946944655744057,0.014742817433018947,867,7853,positive,0.054162356848104824,False
depends,0,53,867,7800,0.0,0.006749013116006622,53,0.08403673678256889,-3.5728360477424483,5.887176522459663,0.015251534578847455,867,7853,positive,0.055437017355537944,False
published,0,53,867,7800,0.0,0.006749013116006622,53,0.08403673678256889,-3.5728360477424483,5.887176522459663,0.015251534578847455,867,7853,positive,0.055437017355537944,False
childhood,0,53,867,7800,0.0,0.006749013116006622,53,0.08403673678256889,-3.5728360477424483,5.887176522459663,0.015251534578847455,867,7853,positive,0.055437017355537944,False
chill,8,168,859,7685,0.00922722029988466,0.02139309817903986,176,0.45107137370253564,-1.148572363536017,5.8436497497975175,0.015633365583722116,867,7853,positive,0.05616126412965151,False
provides,2,86,865,7767,0.002306805074971165,0.010951228829746593,88,0.2593809585825294,-1.9468555211067977,5.840488488047206,0.015661477991970346,867,7853,positive,0.05616126412965151,False
era,2,86,865,7767,0.002306805074971165,0.010951228829746593,88,0.2593809585825294,-1.9468555211067977,5.840488488047206,0.015661477991970346,867,7853,positive,0.05616126412965151,False
detail,2,86,865,7767,0.002306805074971165,0.010951228829746593,88,0.2593809585825294,-1.9468555211067977,5.840488488047206,0.015661477991970346,867,7853,positive,0.05616126412965151,False
timing,1,69,866,7784,0.0011534025374855825,0.00878645103781994,70,0.1938958930951027,-2.3666458488128326,5.7128533550849285,0.01684114428473307,867,7853,positive,0.060032548497882074,False
classic,5,127,862,7726,0.0057670126874279125,0.016172163504393225,132,0.3864347826086956,-1.371703139330008,5.670246925802238,0.017255027076960267,867,7853,positive,0.060864856715479324,False
rewarding,5,127,862,7726,0.0057670126874279125,0.016172163504393225,132,0.3864347826086956,-1.371703139330008,5.670246925802238,0.017255027076960267,867,7853,positive,0.060864856715479324,False
laugh,0,51,867,7802,0.0,0.006494333375779956,51,0.08732268263339023,-3.517499737842269,5.663711957654477,0.017319430514945708,867,7853,positive,0.060864856715479324,False
pixel,6,140,861,7713,0.006920415224913495,0.017827581815866547,146,0.41422206984011584,-1.2715236721820256,5.6423333100793265,0.017531859931826283,867,7853,positive,0.06139990069554928,False
peak,5,126,862,7727,0.0057670126874279125,0.016044823634279892,131,0.38954001260239446,-1.360156568864321,5.573891764803862,0.01823019864342401,867,7853,positive,0.06347495870184935,False
humor,3,98,864,7755,0.0034602076124567475,0.012479307271106584,101,0.3187693951786925,-1.649414971027701,5.547780847840834,0.01850413291234538,867,7853,positive,0.06424227909799793,False
action,10,189,857,7664,0.011534025374855825,0.02406723545141984,199,0.4952560443702547,-1.0137535122414978,5.499866863269033,0.019017921556632254,867,7853,positive,0.06555171525051837,False
lore,1,67,866,7786,0.0011534025374855825,0.008531771297593277,68,0.1996922485093287,-2.3241497623768597,5.493719357723742,0.019084900931752826,867,7853,positive,0.06568820277657823,False
helps,2,82,865,7771,0.002306805074971165,0.010441869349293264,84,0.2720970537261698,-1.8778067597538557,5.416281618788528,0.01994980280151601,867,7853,positive,0.06827329089991,False
prison,0,48,867,7805,0.0,0.006112313765439959,48,0.09275973736593482,-3.4303574545406983,5.328708374311554,0.020976925307540823,867,7853,positive,0.07148244859771369,False
unlike,2,81,865,7772,0.002306805074971165,0.010314529479179931,83,0.2754711096461849,-1.8600270724819274,5.310658849847564,0.021195339318119625,867,7853,positive,0.07202212326369543,False
platformer,2,81,865,7772,0.002306805074971165,0.010314529479179931,83,0.2754711096461849,-1.8600270724819274,5.310658849847564,0.021195339318119625,867,7853,positive,0.07202212326369543,False
intense,1,65,866,7788,0.0011534025374855825,0.008277091557366612,66,0.20584257982671358,-2.280386651281118,5.27497320808838,0.02163412084506362,867,7853,positive,0.07320205346587817,False
leans,0,47,867,7806,0.0,0.005984973895326626,47,0.09472470802366145,-3.400115401949845,5.217092014574447,0.022365922065310972,867,7853,positive,0.07525364240488222,False
inspired,1,64,866,7789,0.0011534025374855825,0.008149751687253279,65,0.20906077644627544,-2.258005683053317,5.165753757370815,0.02303645894812908,867,7853,positive,0.07729295806512121,False
reinforce,0,46,867,7807,0.0,0.005857634025213295,46,0.0967741935483871,-3.3692338096657193,5.105501390682333,0.02385008480923234,867,7853,positive,0.07881040421122368,False
king,0,46,867,7807,0.0,0.005857634025213295,46,0.0967741935483871,-3.3692338096657193,5.105501390682333,0.02385008480923234,867,7853,positive,0.07881040421122368,False
waves,0,46,867,7807,0.0,0.005857634025213295,46,0.0967741935483871,-3.3692338096657193,5.105501390682333,0.02385008480923234,867,7853,positive,0.07881040421122368,False
spoiler,2,79,865,7774,0.002306805074971165,0.010059849738953266,81,0.2824738672160274,-1.823810690657776,5.099965740874893,0.02392631603824155,867,7853,positive,0.07895355182357837,False
addicting,0,45,867,7808,0.0,0.005730294155099962,45,0.09891376634892485,-3.337684867362575,4.993936493735209,0.025436280359671517,867,7853,positive,0.08190823702396237,False
mechanical,1,62,866,7791,0.0011534025374855825,0.007895071947026613,63,0.2158061165608771,-2.21219233938956,4.947640289603661,0.026126305004991555,867,7853,positive,0.08379278837830847,False
loved,12,206,855,7647,0.01384083044982699,0.02623201324334649,218,0.5411148203548326,-0.8859933396885693,4.918346401120049,0.026572939091758126,867,7853,positive,0.0848847947817946,False
charming,12,206,855,7647,0.01384083044982699,0.02623201324334649,218,0.5411148203548326,-0.8859933396885693,4.918346401120049,0.026572939091758126,867,7853,positive,0.0848847947817946,False
maintaining,0,44,867,7809,0.0,0.005602954284986629,44,0.10114949972476767,-3.305438910397806,4.882397314837173,0.027131911200102235,867,7853,positive,0.08609716265746728,False
thrilling,0,44,867,7809,0.0,0.005602954284986629,44,0.10114949972476767,-3.305438910397806,4.882397314837173,0.027131911200102235,867,7853,positive,0.08609716265746728,False
emphasis,0,44,867,7809,0.0,0.005602954284986629,44,0.10114949972476767,-3.305438910397806,4.882397314837173,0.027131911200102235,867,7853,positive,0.08609716265746728,False
lies,0,44,867,7809,0.0,0.005602954284986629,44,0.10114949972476767,-3.305438910397806,4.882397314837173,0.027131911200102235,867,7853,positive,0.08609716265746728,False
builds,5,118,862,7735,0.0057670126874279125,0.015026104673373232,123,0.41626857457347277,-1.2644134458934821,4.813444171738616,0.028238552545400687,867,7853,positive,0.08949047233344287,False
driven,2,76,865,7777,0.002306805074971165,0.00967783012861327,78,0.29366454843057965,-1.7677589827501838,4.78539828794225,0.0287020092704104,867,7853,positive,0.09071952600752904,False
accessible,2,76,865,7777,0.002306805074971165,0.00967783012861327,78,0.29366454843057965,-1.7677589827501838,4.78539828794225,0.0287020092704104,867,7853,positive,0.09071952600752904,False
leaderboards,0,43,867,7810,0.0,0.0054756144148732965,43,0.10348802543972971,-3.272464251202946,4.770883845096427,0.028944962277843322,867,7853,positive,0.09136705855861334,False
multiplayer,9,168,858,7685,0.010380622837370242,0.02139309817903986,177,0.5047258260474328,-0.9864281858668442,4.761649289613898,0.029100650536331176,867,7853,positive,0.09161740241031298,False
cast,3,90,864,7763,0.0034602076124567475,0.011460588310199924,93,0.34730579103943454,-1.52572162820934,4.736414914571309,0.029530548438152306,867,7853,positive,0.09284899830029801,False
extensive,0,42,867,7811,0.0,0.005348274544759965,42,0.10593659942363112,-3.238726991063951,4.659396075625268,0.030884052569622157,867,7853,positive,0.0958484374055932,False
hololive,0,42,867,7811,0.0,0.005348274544759965,42,0.10593659942363112,-3.238726991063951,4.659396075625268,0.030884052569622157,867,7853,positive,0.0958484374055932,False
playful,0,42,867,7811,0.0,0.005348274544759965,42,0.10593659942363112,-3.238726991063951,4.659396075625268,0.030884052569622157,867,7853,positive,0.0958484374055932,False
tracks,3,89,864,7764,0.0034602076124567475,0.011333248440086591,92,0.35123153823536063,-1.509505699863487,4.636157946538615,0.03130501221305067,867,7853,positive,0.09702935955957177,False
focuses,0,41,867,7812,0.0,0.005220934674646632,41,0.10850317697302177,-3.2041908094883738,4.547933997540091,0.03295849199525285,867,7853,positive,0.10083909088495438,False
distinguishes,0,41,867,7812,0.0,0.005220934674646632,41,0.10850317697302177,-3.2041908094883738,4.547933997540091,0.03295849199525285,867,7853,positive,0.10083909088495438,False
stylized,0,41,867,7812,0.0,0.005220934674646632,41,0.10850317697302177,-3.2041908094883738,4.547933997540091,0.03295849199525285,867,7853,positive,0.10083909088495438,False
shmup,0,41,867,7812,0.0,0.005220934674646632,41,0.10850317697302177,-3.2041908094883738,4.547933997540091,0.03295849199525285,867,7853,positive,0.10083909088495438,False
