word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
great,103,1320,1354,7013,0.07069320521619767,0.15840633625345013,1423,0.40584269775995957,-1.301007439240673,76.80653699254357,1.885524544436189e-18,1457,8333,positive,4.787436605206552e-17,True
amazing,20,436,1437,7897,0.013726835964310227,0.05232209288371535,456,0.258018825638727,-1.9544517630962208,41.59861379530209,1.1207270791766415e-10,1457,8333,positive,1.3832677745763547e-09,True
fun,251,2044,1206,6289,0.17227179135209333,0.24528981159246369,2295,0.6412681492003908,-0.641000342369044,36.842526585089466,1.2806605860361378e-09,1457,8333,positive,1.3336879384266967e-08,True
unique,19,361,1438,7972,0.013040494166094716,0.043321732869314775,380,0.29895854516504483,-1.7419826466885333,30.48019062488069,3.3729310617738756e-08,1457,8333,positive,2.9195565619120625e-07,True
highly,11,283,1446,8050,0.0075497597803706245,0.033961358454338175,294,0.225761142110952,-2.147130903320595,29.699214845164185,5.0455252433782267e-08,1457,8333,positive,4.3113366342456264e-07,True
soundtrack,10,252,1447,8081,0.0068634179821551134,0.030241209648385937,262,0.23216744472374698,-2.1067624079052765,26.022412308588695,3.374768042974289e-07,1457,8333,positive,2.5807420926013734e-06,True
fantastic,3,180,1454,8153,0.002059025394646534,0.021600864034561382,183,0.1086979085824964,-3.2016039126333444,25.818772501474022,3.7502318275594454e-07,1457,8333,positive,2.816371282330558e-06,True
addictive,1,148,1456,8185,0.0006863417982155113,0.017760710428417138,149,0.05676746871391568,-4.138791777126159,24.12262586244574,9.039197468034541e-07,1457,8333,positive,6.308507971146619e-06,True
relaxing,8,213,1449,8120,0.00549073438572409,0.025561022440897637,221,0.22304145901881695,-2.16461619119246,22.640812518127177,1.9529182031866645e-06,1457,8333,positive,1.2887326558652593e-05,True
love,114,1005,1343,7328,0.07824296499656828,0.12060482419296772,1119,0.6211562124726361,-0.6869719623210994,21.983375458911993,2.750223718075956e-06,1457,8333,positive,1.7926886142764057e-05,True
forward,8,197,1449,8136,0.00549073438572409,0.023640945637825515,205,0.24158570611428645,-2.0493929975425984,19.927876154129923,8.041915742656578e-06,1457,8333,positive,4.917373249982211e-05,True
loved,12,227,1445,8106,0.008236101578586136,0.027241089643585743,239,0.30813703764239914,-1.6983559921545668,18.807543795495043,1.4459407754112472e-05,1457,8333,positive,8.325870642000831e-05,True
racing,5,156,1452,8177,0.0034317089910775567,0.0187207488299532,161,0.19785761026763374,-2.3374655376170717,17.92243389766149,2.3009286348238757e-05,1457,8333,positive,0.00012700363851843587,True
excellent,7,171,1450,8162,0.004804392587508579,0.020520820832833315,178,0.24609489238153526,-2.022713379441136,17.16001128415456,3.4359371914804225e-05,1457,8333,positive,0.00018542932292483415,True
awesome,15,234,1442,8099,0.01029512697323267,0.028081123244929798,249,0.37113442443637223,-1.4299862710001663,15.827297887275806,6.939409940828374e-05,1457,8333,positive,0.0003592323670339504,True
charming,12,208,1445,8125,0.008236101578586136,0.0249609984399376,220,0.33700469579369363,-1.5691594009547796,15.791955200798144,7.07024931777953e-05,1457,8333,positive,0.0003652962147519424,True
perfect,23,298,1434,8035,0.015785861358956762,0.03576143045721829,321,0.4409972483540042,-1.1811584409150366,15.603887073093732,7.809388559186876e-05,1457,8333,positive,0.0004019272181234018,True
favorite,14,223,1443,8110,0.009608785175017159,0.026761070442817714,237,0.36451996103802514,-1.455930276488572,15.4454115122551,8.492287379891912e-05,1457,8333,positive,0.0004339663503918783,True
chill,8,170,1449,8163,0.00549073438572409,0.020400816032641305,178,0.28077130449472415,-1.8325325986274281,15.444359572598415,8.497015562811721e-05,1457,8333,positive,0.0004339663503918783,True
arcade,5,141,1452,8192,0.0034317089910775567,0.016920676827073083,146,0.2192333189395644,-2.189461020056354,15.359992588105667,8.884976766282226e-05,1457,8333,positive,0.00045204862707840486,True
