word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
fun,1421,8972,8766,30994,0.13949150878570726,0.22449081719461542,10393,0.5601338189052314,-0.8361565591321023,357.00753936647527,1.2623829289793078e-79,10187,39966,positive,3.238853801451244e-77,True
great,711,5365,9476,34601,0.0697948365563954,0.1342391032377521,6076,0.48418537185228877,-1.046368601413694,316.6450374713027,7.792854800228973e-71,10187,39966,positive,1.4629659365210345e-68,True
love,529,4299,9658,35667,0.05192892902719152,0.10756643146674673,4828,0.45479009439964024,-1.1367272630761671,288.8444884240327,8.8783759720859e-65,10187,39966,positive,1.3946297930029627e-62,True
amazing,126,1677,10061,38289,0.012368705212525768,0.041960666566581595,1803,0.28697559191301364,-1.8010000580683196,205.1111188510226,1.6015472579145364e-46,10187,39966,positive,1.6219880584431824e-44,True
best,311,2706,9876,37260,0.03052910572298027,0.0677075514187059,3017,0.43420580956635996,-1.2035490659022778,198.4670114458097,4.512015664042398e-45,10187,39966,positive,4.235242020260285e-43,True
highly,62,1161,10125,38805,0.0060861882791793465,0.029049692238402643,1223,0.20622324141112125,-2.277721160924978,179.93205816181268,5.014813564384729e-41,10187,39966,positive,3.859902000506926e-39,True
unique,113,1438,10074,38528,0.011092568960439777,0.03598058349597157,1551,0.3017481355835073,-1.7285832378846557,167.78319922132957,2.256088284668142e-38,10187,39966,positive,1.471619620939889e-36,True
horror,105,1317,10082,38649,0.010307254343771473,0.03295301005854977,1422,0.3069569599193748,-1.7038917131157512,151.1132767303482,9.899875525630569e-35,10187,39966,positive,5.686518053789439e-33,True
atmosphere,108,1247,10079,38719,0.010601747325022087,0.031201521293099135,1355,0.33410266139700406,-1.5816366199398102,131.0441079347059,2.4216517472968956e-30,10187,39966,positive,1.2025453870286585e-28,True
nice,338,2432,9849,37534,0.03317954255423579,0.060851723965370565,2770,0.530300790514927,-0.9151171957937406,119.12924121661769,9.812344014741335e-28,10187,39966,positive,4.2912279478104574e-26,True
addictive,15,577,10172,39389,0.0014724649062530675,0.014437271680928789,592,0.1039279783049751,-3.2663440024531027,116.97801193492921,2.9026787355315693e-27,10187,39966,positive,1.2412176792992493e-25,True
simple,228,1836,9959,38130,0.022381466575046628,0.04593904819096232,2064,0.4763544601757455,-1.0698925977621656,114.16681260896873,1.1979470765206371e-26,10187,39966,positive,4.930801416031735e-25,True
perfect,110,1173,10077,38793,0.010798075979189163,0.029349947455337037,1283,0.3624810784168751,-1.4640224067573353,112.08315956078691,3.426329436009649e-26,10187,39966,positive,1.3594050344827972e-24,True
definitely,192,1621,9995,38345,0.018847550800039265,0.04055947555422109,1813,0.4554321260786904,-1.1346920324429588,109.83129561737533,1.066955250869901e-25,10187,39966,positive,4.106177282972814e-24,True
visually,39,718,10148,39248,0.0038284087562579757,0.01796527047990792,757,0.21261383966538105,-2.2336925856629257,109.13203790690562,1.5182761054450676e-25,10187,39966,positive,5.814015514234172e-24,True
satisfying,79,970,10108,38996,0.00775498183959949,0.0242706300355302,1049,0.31601704198778646,-1.6619257335472815,108.12666144914253,2.5213887510730464e-25,10187,39966,positive,9.560162175866621e-24,True
surprisingly,13,527,10174,39439,0.001276136252085992,0.013186208277035481,540,0.09920410169555476,-3.3334564182200146,108.11188350505195,2.5402587476775075e-25,10187,39966,positive,9.584495872977341e-24,True
excellent,30,651,10157,39315,0.002944929812506135,0.01628884551869089,681,0.18120175161392263,-2.4643311934077086,107.91800453857837,2.801309525225822e-25,10187,39966,positive,1.0517892397884466e-23,True
published,24,600,10163,39366,0.002355943850004908,0.015012760846719712,624,0.1580289248308884,-2.6617394485682206,105.83730161430346,8.004457839641791e-25,10187,39966,positive,2.9338243805582317e-23,True
familiar,18,555,10169,39411,0.0017669578875036812,0.013886803783215733,573,0.12906575578153714,-2.953821824820105,105.57642639678069,9.130750276230826e-25,10187,39966,positive,3.330776534414629e-23,True
relaxing,42,718,10145,39248,0.00412290173750859,0.01796527047990792,760,0.22882937051564317,-2.127655859301401,104.22592005365863,1.8051357870621417e-24,10187,39966,positive,6.492584183652946e-23,True
rating,61,823,10126,39143,0.005988023952095809,0.02059250362808387,884,0.2886767455440949,-1.792473199434894,99.9954113377625,1.5275054903159035e-23,10187,39966,positive,5.156670946912943e-22,True
good,1612,8066,8575,31900,0.158240895258663,0.20182154831606866,9678,0.743622674909081,-0.4273573325910645,99.00312406266863,2.521037573438622e-23,10187,39966,positive,8.363976811533221e-22,True
offers,63,831,10124,39135,0.006184352606262884,0.020792673772706802,894,0.29519484819291464,-1.7602605515086671,98.94900087657956,2.5908870204515843e-23,10187,39966,positive,8.558822916916672e-22,True
solid,99,1036,10088,38930,0.009718268381270247,0.02592203372866937,1135,0.37043938758963396,-1.432690591161886,96.36389556023148,9.559460080035069e-23,10187,39966,positive,3.027949145515635e-21,True
driven,29,592,10158,39374,0.0028467654854225973,0.014812590702096782,621,0.19298303326868294,-2.373454081047495,95.04773057530548,1.8584970686002697e-22,10187,39966,positive,5.684457619366064e-21,True
delivers,4,403,10183,39563,0.0003926573083341514,0.010083571035380073,407,0.043327797371759805,-4.528563292689743,94.71326026310142,2.200601085396157e-22,10187,39966,positive,6.61641662277118e-21,True
traditional,5,411,10182,39555,0.0004908216354176892,0.010283741180003003,416,0.0519212703519219,-4.267530507747436,94.6423166989775,2.2808985301956487e-22,10187,39966,positive,6.83115797156261e-21,True
endings,31,600,10156,39366,0.0030430941395896732,0.015012760846719712,631,0.2033200807036818,-2.298175386340431,93.62039882774636,3.8222794068305437e-22,10187,39966,positive,1.1403133563711122e-20,True
tension,27,568,10160,39398,0.002650436831255522,0.014212080268227994,595,0.18757149163143508,-2.41448752080441,92.56404237849007,6.518101283003714e-22,10187,39966,positive,1.914878838751129e-20,True
awesome,81,909,10106,39057,0.007951310493766565,0.022744332682780363,990,0.3463048440649143,-1.5298855269896676,91.80665265304629,9.557262470723443e-22,10187,39966,positive,2.7864488347408465e-20,True
succeeds,4,386,10183,39580,0.0003926573083341514,0.009658209478056347,390,0.04525298419538341,-4.465843256320933,90.32445642093583,2.021385078015863e-21,10187,39966,positive,5.762444794625221e-20,True
action,80,896,10107,39070,0.007853146166683027,0.022419056197768104,976,0.34709695646314115,-1.526589380008282,90.26041035610415,2.0878883514727733e-21,10187,39966,positive,5.908263471061006e-20,True
presentation,28,565,10159,39401,0.0027486011583390596,0.014137016463994396,593,0.1954576494305744,-2.3550720478421283,90.1103150555436,2.2524431899792056e-21,10187,39966,positive,6.32739242090144e-20,True
seeking,5,391,10182,39575,0.0004908216354176892,0.009783315818445678,396,0.05460129143764861,-4.194921115394115,89.48477055025937,3.090080858922759e-21,10187,39966,positive,8.555522435657726e-20,True
genre,118,1110,10069,38856,0.011583390595857465,0.027773607566431466,1228,0.41177081328888493,-1.2800865209047163,89.08611976399234,3.779938310435957e-21,10187,39966,positive,1.0428023360367583e-19,True
music,203,1569,9984,38397,0.019927358397958183,0.03925836961417205,1772,0.4986315121665724,-1.0039540347417444,89.00296892730165,3.9422044475158704e-21,10187,39966,positive,1.0798273178836176e-19,True
beautiful,82,879,10105,39087,0.008049474820850102,0.02199369464044438,961,0.3628258259669751,-1.4626509442348168,83.98553241917952,4.984087920135875e-20,10187,39966,positive,1.270282275539266e-18,True
