word,count
boring,573
slop,438
shit,352
refund,346
waste,311
terrible,303
worse,297
worst,256
pvp,249
broken,239
trash,223
unplayable,220
garbage,219
poor,213
stupid,202
anymore,190
cash,190
sucks,185
company,180
servers,174
poorly,166
pve,164
horrible,163
amazon,157
ass,156
awful,155
fucking,151
shame,146
killed,144
gamers,139
generative,131
dollars,128
disappointing,127
loading,124
lazy,116
randomly,114
crap,111
fuck,109
download,108
sorry,107
ruined,104
bother,102
fake,101
stellaris,100
banned,97
asset,93
paradox,90
removed,86
scam,86
toxic,85
wasted,84
meh,83
hasnt,83
gen,82
response,80
anti,79
refunded,78
inzoi,76
matchmaking,76
cheaters,76
genai,73
unable,71
stormgate,71
log,69
flip,68
bugged,68
starcraft,67
thief,67
wasting,64
public,64
tanks,64
rec,63
lobbies,62
cheat,61
raid,61
laggy,60
greedy,60
badly,59
port,59
ban,59
kills,57
soulless,57
spam,57
marketing,55
ops,55
hardly,54
shitty,54
monetization,54
nope,53
usd,52
mins,52
launched,52
accounts,52
nonsense,51
msc,51
advertisement,51
forth,50
network,50
faith,50
uninstalled,50
meaningless,49
loadout,49
cheating,48
sc2,48
excuse,48
wtf,47
linux,47
premium,47
couldve,46
mediocre,46
disgusting,45
advertised,44
sign,44
lame,44
peony,44
euros,43
claim,43
roblox,43
thinks,42
freezes,42
pile,42
overpriced,42
request,42
kickstarter,42
dozen,41
waited,41
lackluster,41
deleted,40
existent,40
disappointment,40
zoi,40
heartopia,40
shutting,40
krafton,39
login,39
atrocious,38
uninstalling,38
win64,38
stanley,38
parable,38
cops,38
launcher,37
uninstall,37
address,36
originally,36
forums,36
install,35
disclosed,35
scaling,35
restarting,35
slog,35
blatant,35
paywall,35
portion,35
ignored,35
embark,35
predatory,35
advertisements,35
walked,34
disclosure,34
bo7,34
foreign,33
bullshit,33
flag,33
promised,33
moss,33
uninteresting,32
pod,32
oven,32
qra,32
advertising,32
microtransactions,32
incorrectly,32
miserable,31
upset,31
rid,31
downloads,31
ripped,31
taxi,31
bo6,31
sexual,30
infinitecraft,30
crisis,30
warzone,30
severely,29
application,29
desync,29
nonsensical,29
publisher,29
practices,29
loss,29
abysmal,28
valve,28
tarkov,28
demos,28
horribly,27
amounts,27
hoped,27
inputs,27
insult,27
announced,27
pathetic,27
downloading,26
blizzard,26
censorship,26
indication,26
extract,26
scummy,26
delete,26
locks,26
integrity,26
wiki,25
wikipedia,25
restrictions,25
client,25
attempted,25
requested,25
lasted,25
org,25
lvl,25
refunding,25
rigged,25
emails,24
greed,24
frost,24
utter,24
cradles,24
worthless,23
lagging,23
ps2,23
unethical,23
render,23
delay,23
conscience,23
consumer,23
foot,23
ruining,23
stash,23
satsuma,22
headache,22
disconnect,22
censored,22
crystals,22
cheats,22
interceptors,22
moderation,22
respawn,22
disclose,22
dogshit,21
infuriating,21
riddled,21
blatantly,21
disappeared,21
slapped,21
theyd,21
placeholder,21
restarted,21
irrelevant,21
kits,21
sounded,21
shower,20
disappears,20
plague,20
posting,20
drifter,20
sellmyapp,20
apple,20
pretending,19
marketed,19
returned,19
embarrassed,19
piss,19
privacy,19
secondly,19
slightest,19
bans,19
infested,19
symptoms,19
tractor,18
billion,18
electricity,18
ignores,18
deleting,18
horrid,18
disaster,18
computers,18
shutdown,18
covering,18
hyped,18
steamdb,18
microtransaction,18
weirdo,18
axis,17
unusable,17
logo,17
reinstall,17
announcement,17
talentless,17
tiktok,17
risking,17
