word,count
good,8547
fun,8359
great,4843
story,4487
experience,4486
love,3964
gameplay,3530
rather,2817
little,2808
because,2767
through,2756
recommend,2444
think,2396
best,2375
different,2343
better,2307
pretty,2235
nice,2196
horror,2178
world,2173
mechanics,2171
bit,2170
each,2169
need,2156
many,2155
few,2152
worth,2116
overall,2062
without,1965
long,1947
real,1906
those,1863
enjoy,1862
may,1856
work,1842
enough,1811
character,1804
far,1774
take,1760
design,1759
back,1756
made,1744
easy,1732
combat,1729
system,1728
use,1726
know,1717
simple,1696
making,1662
give,1643
characters,1636
keep,1634
actually,1620
makes,1613
off,1605
early,1596
cool,1588
own,1570
short,1567
find,1564
bad,1560
friends,1547
life,1542
content,1472
should,1467
atmosphere,1467
graphics,1464
price,1460
looking,1459
say,1459
once,1454
especially,1449
interesting,1443
right,1433
amazing,1394
narrative,1394
hard,1379
sense,1375
definitely,1371
end,1346
add,1340
run,1337
before,1337
progression,1331
small,1326
instead,1319
free,1309
style,1308
since,1299
try,1288
full,1283
systems,1283
unique,1255
going,1252
another,1245
hope,1240
level,1237
sometimes,1237
building,1224
simulator,1219
look,1211
quite,1202
needs,1186
part,1181
music,1175
review,1174
times,1169
down,1168
art,1167
buy,1157
point,1154
again,1153
both,1145
genre,1131
between,1124
bugs,1124
steam,1116
visual,1104
start,1098
dev,1098
potential,1095
issues,1091
future,1088
itself,1072
depth,1072
getting,1070
ever,1066
devs,1064
items,1062
having,1054
mode,1049
main,1046
enjoyed,1045
access,1035
enemies,1025
space,1025
action,1023
yet,1022
sure,1022
single,1015
day,1014
kind,1005
survival,999
already,997
wish,994
next,993
often,988
tension,983
updates,982
moments,959
help,952
two,951
store,947
perfect,945
based,940
put,938
might,930
used,930
https,927
works,920
big,919
levels,919
progress,912
satisfying,909
done,908
found,908
solid,906
highly,897
loop,897
build,892
stuff,892
able,884
engaging,882
during,880
come,880
puzzles,879
sound,877
developer,876
core,876
trying,873
less,872
becomes,863
others,858
sim,855
multiple,855
strategy,855
forward,849
offers,846
absolutely,838
almost,838
idea,836
become,833
turn,831
wait,829
map,826
indie,821
management,820
fmv,817
voice,816
concept,816
enjoyable,811
high,810
community,809
elements,804
super,803
support,803
yes,800
choices,796
comes,793
please,785
must,785
puzzle,783
difficulty,782
variety,782
achievements,779
job,776
challenge,776
said,774
slow,773
decent,768
screen,765
gives,765
url,764
certain,763
rating,758
seems,757
dlc,755
setting,751
clear,745
events,744
fast,741
felt,732
together,730
open,730
gets,726
awesome,725
thought,722
complete,720
she,720
title,718
emotional,717
storytelling,712
using,709
options,706
probably,706
developers,705
audio,702
com,699
visually,695
type,692
exploration,690
entire,690
top,690
place,689
driven,687
looks,686
ending,683
added,683
change,682
away,681
list,681
set,680
feeling,678
endings,677
beautiful,675
move,672
option,669
repetitive,668
understand,663
honestly,661
update,660
multiplayer,657
lots,656
enemy,653
dialogue,651
liked,648
create,644
etc,642
loved,642
fully,641
features,639
doing,637
english,635
either,634
developed,634
attention,634
card,631
minutes,630
lack,629
team,625
immersion,624
across,624
despite,623
click,622
old,621
least,620
weapons,620
amount,619
fan,618
person,616
