word,count
boring,466
slop,372
refund,264
shit,255
pvp,230
waste,228
terrible,221
worse,197
poor,172
unplayable,164
locked,164
stupid,150
garbage,149
pve,148
poorly,139
sucks,133
barely,133
page,132
server,123
awful,123
horrible,117
gamers,116
disappointing,115
generative,109
ass,109
killed,106
servers,104
dollars,100
lacking,99
crap,96
fucking,94
lazy,94
randomly,91
fake,90
asset,84
sorry,81
inzoi,76
fuck,75
gen,73
bother,72
ruined,72
wasted,71
stormgate,71
banned,70
response,68
starcraft,67
scam,67
meh,66
thief,66
genai,64
costs,63
anti,63
flip,61
unable,60
planet,59
refunded,59
lobbies,57
cheaters,57
removed,56
hasnt,55
matchmaking,55
msc,51
public,51
soulless,51
advertisement,51
ops,51
bugged,50
log,50
laggy,50
marketing,50
hardly,49
network,49
sc2,48
loadout,48
wasting,47
badly,47
ram,46
port,46
toxic,45
mins,44
peony,44
nope,42
justify,42
accounts,42
kickstarter,42
shipping,42
cheat,41
spam,41
info,41
faith,41
launched,41
meaningless,40
zoi,40
heartopia,40
shitty,39
advertised,39
wtf,38
lackluster,38
win64,38
parable,38
cops,38
usd,37
freezes,37
couldve,37
waited,37
mediocre,37
request,37
stanley,37
cheating,36
thinks,36
euros,36
claim,36
bare,36
atrocious,36
sign,35
embark,35
disclosed,34
pile,34
opened,34
lame,34
krafton,34
ban,34
advertisements,34
blatant,33
existent,33
disgusting,33
login,33
moss,33
foreign,32
walked,32
scaling,32
planets,32
disappointment,32
disclosure,32
pod,32
qra,32
uninstalling,32
companies,31
uninteresting,31
originally,31
script,31
uninstalled,31
taxi,31
address,30
flag,30
icons,30
paywall,30
greedy,30
advertising,30
downloads,30
uninstall,30
infinitecraft,30
monetization,30
slog,29
portion,29
incorrectly,29
bo7,29
application,28
sexual,28
stated,28
bullshit,27
charge,27
abysmal,27
valve,27
install,26
blizzard,26
insult,26
extract,26
forums,26
ripped,26
raid,26
demos,26
roblox,26
wikipedia,25
indication,25
ignored,25
org,25
sickness,25
traffic,24
wiki,24
deleted,24
miserable,24
upset,24
rotate,24
cradles,24
emails,23
censorship,23
frost,23
rigged,23
satsuma,22
ps2,22
claims,22
client,22
interceptors,22
locks,22
integrity,22
stash,22
censored,21
trained,21
render,21
rid,21
restrictions,21
attempted,21
foot,21
refunding,21
kits,21
disclose,21
severely,20
downloading,20
unethical,20
crystals,20
requested,20
lvl,20
utter,20
sellmyapp,20
bo6,20
shower,19
refuse,19
embarrassed,19
lagging,19
tanks,19
placeholder,19
delay,19
canvas,19
wasd,19
tarkov,19
visibility,19
symptoms,19
apple,19
tractor,18
riddled,18
worthless,18
nvidia,18
gay,18
tap,18
slapped,18
scummy,18
slightest,18
launcher,18
restarted,18
weirdo,18
spawning,18
sounded,18
dogshit,17
marketed,17
infuriating,17
electricity,17
disconnect,17
desync,17
blatantly,17
disappears,17
privacy,17
theyd,17
spawned,17
steamdb,17
risking,17
predatory,17
armory,17
pretending,16
returned,16
logo,16
conscience,16
practices,16
covering,16
sore,16
zois,16
talentless,16
drifter,16
tiktok,16
doc,16
harmful,16
quota,16
refused,15
unusable,15
coded,15
cheats,15
posting,15
jus,15
infantry,15
drifters,15
bans,15
