word,count
good,6862
fun,6666
great,3928
story,3636
experience,3560
love,3341
gameplay,2722
because,2299
little,2292
through,2232
rather,2033
different,1955
horror,1923
nice,1906
recommend,1898
think,1849
each,1806
pretty,1796
bit,1794
best,1789
many,1787
better,1768
need,1755
mechanics,1728
worth,1704
few,1702
overall,1653
real,1558
far,1554
work,1521
character,1517
take,1502
enough,1500
long,1496
short,1459
enjoy,1456
without,1445
world,1436
characters,1427
use,1423
know,1416
those,1404
may,1399
made,1383
making,1371
back,1351
give,1347
actually,1340
keep,1339
easy,1324
simple,1317
makes,1300
find,1296
system,1296
design,1276
off,1269
bad,1260
cool,1250
friends,1247
looking,1247
early,1244
should,1225
own,1210
price,1203
definitely,1198
life,1197
atmosphere,1196
especially,1196
say,1187
narrative,1180
right,1159
run,1158
end,1142
graphics,1136
amazing,1125
interesting,1104
sense,1099
combat,1064
full,1063
before,1057
since,1054
try,1053
hope,1045
once,1044
simulator,1042
unique,1034
going,1032
another,1031
instead,1021
part,1015
progression,1010
free,1007
add,1004
content,1001
small,992
style,988
look,987
buy,965
both,965
art,963
sometimes,958
quite,958
building,953
issues,943
items,937
needs,935
music,933
hard,926
level,925
bugs,923
future,921
genre,920
times,906
between,902
access,899
start,892
store,891
down,889
again,884
enjoyed,884
kind,882
yet,881
day,873
dev,865
review,863
potential,861
getting,856
single,854
having,852
devs,849
https,841
sure,839
main,838
moments,837
wish,835
next,834
two,834
steam,831
survival,825
point,822
updates,821
systems,814
solid,805
itself,802
visual,801
tension,795
help,788
based,787
depth,787
progress,781
ever,778
done,777
already,771
during,768
action,766
voice,765
used,759
might,755
fmv,750
able,749
enemies,749
stuff,742
put,741
often,739
sound,739
developer,737
url,736
big,734
highly,731
works,727
less,724
wait,722
perfect,717
super,716
build,709
multiple,700
loop,699
trying,698
becomes,695
mode,694
forward,694
emotional,693
engaging,693
sim,688
she,687
absolutely,686
come,686
enjoyable,684
job,683
choices,679
levels,678
found,678
satisfying,676
map,673
screen,671
idea,666
turn,664
space,661
others,661
high,660
seems,649
endings,646
list,641
management,641
certain,637
please,634
almost,626
challenge,626
core,626
elements,622
audio,621
puzzles,620
offers,618
developers,618
must,618
setting,617
com,616
events,615
concept,613
thought,605
indie,605
exploration,604
decent,600
together,598
dialogue,598
slow,598
english,597
support,593
card,593
top,592
ending,592
felt,587
become,585
gets,584
clear,583
gives,580
options,580
achievements,579
said,578
storytelling,577
change,576
fast,575
open,571
type,570
title,570
complete,568
rating,567
option,563
set,561
strategy,561
looks,559
place,557
dlc,557
scenes,555
difficulty,554
honestly,553
cards,550
added,548
doing,545
yes,544
etc,538
loved,538
lack,537
probably,537
awesome,536
away,535
house,535
lots,534
moment,533
cute,532
room,530
liked,530
create,529
quality,527
least,526
comes,523
move,522
beautiful,522
whole,522
attention,522
despite,521
keeps,521
jump,520
understand,519
old,514
leave,514
funny,512
using,512
shop,508
strong,507
variety,507
update,507
city,506
feeling,504
quickly,502
clues,497
puzzle,494
version,494
immersion,493
driven,493
