word,count
bad,171
price,160
recommend,122
sure,104
felt,99
off,97
level,88
fun,84
point,80
find,75
many,72
full,71
use,69
thought,67
end,67
give,66
again,66
next,65
nice,65
enough,64
real,63
need,63
once,59
dungeon,59
content,58
dev,56
having,56
money,56
totally,56
almost,55
years,54
idea,54
needs,54
seems,53
hard,53
little,53
pretty,52
going,52
left,52
done,52
screen,52
until,51
either,51
through,51
before,51
looks,49
chat,48
sale,47
getting,47
back,47
immediately,47
mechanics,46
away,46
enemy,46
looking,45
least,44
stuff,44
high,43
should,43
why,43
buy,42
probably,42
tried,42
early,41
devs,41
available,41
current,41
ability,40
moment,40
build,40
pay,40
upgrades,40
cute,40
sort,40
ginka,40
units,40
trailer,40
developer,39
down,39
different,39
spend,39
product,39
sorry,38
side,38
scene,38
currently,38
turn,38
happening,38
put,38
kind,38
room,38
making,37
friend,37
guns,37
points,37
mixed,37
lots,37
top,36
slow,35
negative,35
support,35
sounds,34
seen,34
generally,34
potential,33
minutes,33
bug,33
somewhere,32
repetitive,32
enemies,32
waste,32
old,32
stuck,32
shoot,32
came,32
enjoy,32
fixed,31
actually,31
okay,31
single,31
open,31
map,31
might,31
face,30
half,30
anything,30
program,30
happy,30
war,30
discord,29
cannot,29
die,29
lady,29
trash,29
certainly,29
lost,29
simply,29
big,29
design,29
proper,29
progression,28
random,28
place,28
currency,28
positive,28
type,28
state,28
shows,28
crafting,27
attitude,27
else,27
whatever,27
pull,27
date,27
fantasy,27
personality,27
development,27
damage,27
last,27
boring,26
language,26
purchase,26
tutorial,26
whole,26
spawn,26
base,25
tree,25
cash,25
under,25
instead,25
combat,25
job,25
remember,25
upgrade,25
gold,25
classic,25
higher,25
mobs,25
beat,25
loot,24
leave,24
hit,24
look,24
multiple,24
video,24
dudes,24
final,24
missing,24
hair,24
rpg,24
mana,24
together,24
member,24
bag,23
shop,23
items,23
gems,23
figure,23
atmosphere,23
response,22
cheap,22
amount,22
page,22
failed,22
poorly,22
entire,22
except,22
mouse,22
events,22
menu,22
song,22
polish,22
surprise,22
thanks,22
zone,22
longer,22
comes,22
chance,22
skill,22
looked,22
sound,22
weapon,21
premium,21
unless,21
issue,21
virtual,21
toilet,21
feedback,20
banned,20
concept,20
awful,20
sadly,20
unit,20
heart,20
strings,20
effect,20
specific,20
whenever,20
designs,20
kept,20
eng,20
mmmm,20
speaking,20
reveal,20
twist,20
elsewhere,20
lacked,20
identity,20
hold,20
atri,20
yusano,20
ago,20
oven,20
gas,20
eachother,20
idk,20
sprite,20
secret,20
laid,20
introduces,20
hub,20
sports,20
supporter,20
party,20
marketing,20
funding,20
colour,20
snes,20
maker,20
templates,20
gave,20
fair,20
streamed,20
encounter,20
connects,20
warning,20
holders,20
abilities,20
skeleton,20
supports,20
bar,20
bother,20
poc,20
technically,20
polished,20
afaik,20
switch,20
original,20
await,20
tasks,20
pinned,20
opportunities,20
changes,19
tired,19
using,19
reason,19
starting,19
standard,19
scares,19
walls,18
