word,count
story,290
novel,104
think,103
interesting,85
without,82
say,81
although,74
fmv,73
work,69
tan,66
great,65
help,64
review,62
life,62
text,60
visual,58
kinetic,57
click,55
snowdome,55
yan,55
own,54
bugs,54
found,52
enjoyed,52
liked,51
another,51
take,50
style,49
best,48
those,47
chinese,47
run,47
gameplay,47
yes,46
fan,46
nyanco,45
amazing,45
simple,43
system,43
course,42
works,41
building,41
adventure,40
girl,39
made,39
version,39
less,39
day,39
url,38
rather,37
plot,37
choices,37
markus,37
city,36
various,36
young,36
english,36
complete,35
world,35
features,34
past,34
free,33
yet,32
become,32
loved,32
series,32
community,31
deep,31
models,30
goes,30
drawn,30
gabriel,30
knight,30
ritter,30
create,29
stories,29
upon,29
true,29
ghosts,29
aidventure,28
turned,27
issues,27
itself,27
etc,27
update,26
set,26
com,26
show,25
oldtv,25
writing,25
parents,25
throughout,25
between,24
lives,24
plenty,24
finish,23
already,23
attention,23
wow,23
paced,23
spoil,23
reader,23
walk,23
twists,23
locations,23
words,22
allows,22
awesome,22
lunatic,22
cgs,22
achievements,22
regards,22
listening,22
humour,22
modern,22
classics,22
custom,21
koboldai,21
each,21
forward,21
minor,21
especially,21
everyone,21
happens,21
involved,21
expect,20
hopefully,20
solution,20
lyaaaaa,20
software,20
believe,20
note,20
late,20
stop,20
honestly,19
adventures,19
vibe,19
itll,19
personally,19
grow,19
added,19
interest,19
starts,19
supernatural,19
expected,18
reached,18
total,18
mentioned,18
ones,18
alternative,18
enjoyable,18
gamers,18
gone,18
island,18
spoiling,18
fine,17
translation,17
finished,17
short,17
parts,17
storyline,17
dry,17
quote,16
share,16
care,16
novelai,16
bargain,16
unique,16
strong,16
puzzles,16
places,16
detail,16
queer,16
cheesy,16
factory,15
said,15
adds,15
believable,15
clearly,15
