word,count
fun,1693
good,1685
experience,926
great,915
story,851
gameplay,808
rather,784
world,737
combat,665
love,623
best,586
think,547
recommend,546
better,539
through,524
without,520
little,516
design,483
content,471
systems,469
those,459
may,457
hard,453
long,451
few,450
mechanics,443
pretty,439
system,432
worth,412
once,410
overall,409
easy,408
enjoy,406
back,405
need,401
different,388
simple,379
bit,376
many,368
space,364
each,363
made,361
own,360
mode,355
early,352
real,348
life,345
community,342
interesting,339
cool,338
off,336
add,336
small,334
point,332
graphics,328
work,321
progression,321
style,320
makes,313
level,312
enough,311
review,311
use,303
visual,303
free,302
know,301
friends,300
instead,298
give,296
keep,295
strategy,294
making,291
nice,290
puzzle,289
ever,288
character,287
steam,285
depth,285
actually,280
before,280
down,279
sometimes,279
sense,276
enemies,276
variety,275
fantasy,274
right,274
say,272
building,271
atmosphere,271
itself,270
comes,270
amazing,269
again,269
find,268
entire,264
times,263
puzzles,259
take,258
price,257
action,257
yes,256
horror,255
especially,253
needs,251
enemy,250
core,250
often,249
become,248
since,245
quite,244
should,242
music,242
levels,241
try,235
potential,234
dev,233
satisfying,233
found,230
perfect,228
difficulty,228
offers,228
already,226
look,224
learn,222
between,222
unique,221
far,220
full,220
going,220
base,216
indie,216
devs,215
adventure,215
getting,214
another,214
narrative,214
looking,212
almost,212
visually,212
genre,211
learning,210
support,210
characters,209
main,208
complex,207
start,206
art,204
end,204
concept,203
having,202
bugs,201
presentation,201
multiplayer,200
achievements,200
loop,198
using,197
control,197
put,197
others,197
said,196
hope,195
weapons,194
come,194
driven,194
works,193
deep,193
built,193
click,192
repetitive,191
rating,191
ships,191
environments,190
engaging,189
awesome,189
empire,189
resources,188
developed,188
tension,188
across,187
light,186
big,185
gives,185
upgrade,185
ability,184
sure,183
build,183
ship,183
elements,182
maps,181
final,181
fully,180
both,180
run,179
management,179
rough,178
simulator,177
amount,176
galaxy,176
trying,175
might,175
simulation,175
slow,175
feeling,174
survival,174
definitely,173
lost,172
used,171
fans,171
idea,170
probably,169
units,169
becomes,168
decent,168
appeal,168
published,168
crowalt,168
sim,167
turn,167
takes,167
future,167
must,167
part,166
fast,166
production,166
highly,166
development,165
help,164
focus,164
person,162
fan,162
clear,162
updates,161
enjoyed,161
single,161
current,161
problem,161
favorite,160
open,159
wish,159
next,159
team,159
minutes,158
generation,157
scale,157
although,155
multiple,155
casual,155
encounters,155
forward,155
beautiful,153
based,153
map,153
rhythm,153
absolutely,152
complete,152
curve,151
fire,151
limited,151
features,151
industrial,151
please,151
stuff,150
high,150
challenge,150
move,150
hell,150
battles,149
issues,148
less,148
value,148
title,148
complexity,148
aesthetic,148
novel,148
either,147
away,146
customization,146
felt,145
understand,144
role,144
weapon,143
war,142
gets,142
until,142
tone,142
yet,141
force,141
day,141
interface,141
developer,139
later,139
sound,138
sandbox,138
controls,137
detailed,137
started,136
generated,136
access,136
ultimately,136
