word,count
fun,2501
good,1886
great,1533
love,1224
story,1162
gameplay,1054
punk,1000
little,914
experience,780
recommend,750
characters,743
think,732
bit,664
combat,629
through,624
because,623
easy,614
cute,600
art,600
hard,599
music,596
pretty,593
best,581
nice,576
worth,568
back,566
each,563
enough,534
long,530
world,527
few,519
made,515
different,510
level,509
character,503
better,502
mechanics,498
short,497
style,491
makes,475
mode,459
find,451
enjoy,436
amazing,435
unique,433
those,433
boss,428
try,426
interesting,419
cool,418
design,414
need,409
once,404
simple,404
many,401
difficulty,391
graphics,390
levels,389
off,386
overall,385
say,380
real,380
quite,379
super,375
end,373
keep,368
give,367
without,365
rather,362
multiplayer,361
right,359
ever,354
down,352
work,351
times,339
definitely,338
know,338
since,337
especially,333
puzzles,333
going,332
actually,330
system,329
own,328
looking,326
two,324
puzzle,324
action,324
enemies,321
run,319
before,319
making,311
use,310
life,309
price,309
perfect,308
take,305
content,304
getting,304
buy,301
point,295
having,291
far,290
again,289
friends,289
highly,286
put,282
absolutely,278
may,274
soundtrack,273
fan,272
bad,269
challenging,267
beautiful,267
fast,266
sure,263
wish,263
another,262
able,258
both,258
part,257
sense,257
enjoyed,249
old,249
full,248
writing,247
unlock,242
solid,242
controls,241
challenge,239
steam,238
look,235
favorite,235
beat,233
devs,232
next,231
kind,230
golf,230
loved,229
felt,228
early,228
team,227
enemy,227
might,226
almost,226
based,225
awesome,225
variety,223
should,223
visual,223
wait,222
clear,222
anything,221
probably,220
enjoyable,219
narrative,219
money,216
genre,216
build,215
found,215
done,214
hope,213
sale,213
come,212
spoiler,211
series,210
charming,209
between,208
relaxing,208
big,208
arcade,207
review,206
bosses,205
main,203
sound,202
engaging,199
single,198
platform,198
difficult,197
trying,197
building,197
sometimes,196
movement,196
less,195
yet,195
last,195
whole,194
lots,193
said,193
ending,193
top,192
second,192
often,192
revenge,192
works,191
start,190
dlc,190
original,189
satisfying,189
takes,188
map,188
instead,187
fairy,187
progression,186
fantastic,186
small,186
tail,186
multiple,185
thought,185
forward,185
stuff,184
chill,182
genuinely,181
already,181
cozy,180
core,180
please,180
high,179
side,179
feeling,178
adds,175
must,175
special,174
understand,173
options,172
fights,172
modes,171
day,171
excellent,171
racing,171
volleyball,171
until,170
add,170
honestly,170
skill,170
else,170
hell,169
itself,169
exploration,169
away,168
why,166
demo,166
achievements,165
used,165
items,164
truly,164
doing,164
support,163
bugs,163
horror,162
hand,162
pick,161
amount,161
least,161
version,161
depth,160
despite,160
issues,160
hidden,159
turn,158
strategy,158
years,158
cats,158
myself,157
gets,156
learn,155
funny,155
fans,155
abilities,155
focus,155
future,154
dev,154
gives,153
others,153
certain,152
pixel,151
ways,150
straightforward,150
liked,149
yourself,149
seems,149
classic,149
complete,148
addictive,148
runs,148
yes,148
final,148
idea,147
recommended,147
mechanic,147
cat,147
physics,146
expect,146
looks,146
days,145
atmosphere,145
hit,144
help,144
usually,143
visuals,142
