word,count
needs,140
boring,95
positive,82
waste,64
refund,57
bug,54
currently,53
unless,52
happening,50
currency,49
trash,47
sorry,46
tutorial,46
terrible,45
generally,45
trailer,45
loot,43
awful,42
gold,42
chronicle,42
somewhere,40
guns,40
proper,40
ginka,40
sadly,39
poorly,39
worse,39
locked,38
mobile,37
mobs,36
program,34
unplayable,34
spawn,33
crashes,32
walls,31
hub,31
clunky,30
attitude,29
lady,29
poor,29
zone,29
cash,28
hair,28
bar,28
mana,27
response,26
bag,26
bother,26
failed,25
remove,25
refunded,25
member,25
reload,24
premium,24
dudes,24
ore,24
banned,23
user,23
unfinished,23
unit,23
marketing,23
horrible,22
toilet,22
funding,22
shit,22
numerous,21
comments,21
fucking,21
permanent,21
elsewhere,21
lacked,21
oven,21
streamed,21
opportunities,21
eng,20
mmmm,20
atri,20
yusano,20
gas,20
eachother,20
supporter,20
snes,20
templates,20
connects,20
holders,20
skeleton,20
supports,20
poc,20
afaik,20
await,20
pinned,20
crashed,19
joke,19
chore,18
lastly,18
refunding,18
hardware,18
zombies,18
spaceship,18
elephants,18
files,17
app,17
opponent,17
chopping,16
rimworld,16
colony,16
photos,15
fest,15
rogues,15
gacha,15
