word,count
fun,2564
good,2024
great,1598
story,1452
love,1283
gameplay,1101
punk,1001
little,950
think,835
experience,816
characters,803
recommend,796
bit,711
because,676
easy,651
through,640
music,636
combat,630
best,629
pretty,627
worth,624
art,624
nice,618
hard,609
cute,607
better,594
back,587
each,584
few,565
world,562
enough,555
made,554
long,543
style,540
character,533
different,523
mechanics,520
level,515
short,514
interesting,504
makes,499
find,482
amazing,480
those,480
try,463
mode,463
say,461
cool,457
unique,449
simple,447
without,447
enjoy,443
need,442
off,433
boss,428
work,420
overall,420
many,417
design,417
quite,414
give,412
once,411
real,411
rather,399
end,396
graphics,396
difficulty,392
levels,389
right,385
own,382
know,379
times,379
super,379
since,378
keep,375
ever,373
system,372
life,371
down,370
run,366
multiplayer,365
definitely,361
before,358
take,355
especially,354
looking,351
point,350
puzzles,349
price,348
actually,347
going,343
making,332
puzzle,331
two,328
far,328
again,327
perfect,327
use,325
action,324
getting,323
content,322
enemies,321
fan,318
buy,317
another,313
having,304
friends,303
enjoyed,301
absolutely,293
steam,291
put,290
full,289
highly,288
soundtrack,286
beautiful,284
may,283
visual,281
sure,280
next,276
wish,276
challenging,276
both,272
writing,272
review,268
found,267
fast,266
sense,265
able,264
part,263
loved,261
old,259
early,256
devs,253
favorite,253
wait,253
challenge,250
awesome,247
look,247
kind,247
unlock,246
felt,246
solid,244
controls,243
done,242
series,242
hope,239
might,238
building,238
build,238
almost,238
based,237
enjoyable,237
should,235
beat,235
less,234
probably,234
clear,234
team,234
trying,233
works,232
between,232
variety,230
anything,230
money,230
golf,230
yet,227
enemy,227
sale,226
genre,224
big,223
narrative,223
come,222
sometimes,222
main,222
relaxing,222
bugs,217
start,214
difficult,211
charming,211
spoiler,211
day,210
understand,209
said,208
help,208
sound,207
single,207
arcade,207
top,206
forward,206
lots,205
bosses,205
already,204
second,204
dlc,203
often,203
takes,203
engaging,202
stuff,201
liked,200
version,200
whole,198
multiple,198
platform,198
why,197
itself,196
movement,196
ending,195
last,195
least,194
yes,194
thought,194
original,193
away,193
satisfying,192
although,192
revenge,192
small,191
used,191
feeling,191
adds,190
novel,190
honestly,189
progression,189
map,189
instead,189
issues,187
fantastic,187
achievements,187
fairy,187
dev,186
high,186
side,186
tail,186
add,185
until,184
chill,184
complete,183
please,183
core,182
genuinely,181
cozy,180
doing,179
options,179
demo,179
excellent,179
depth,178
must,178
hell,176
items,175
else,175
support,174
myself,174
special,174
truly,172
fights,172
future,171
hand,171
modes,171
racing,171
volleyball,171
exploration,170
amount,170
focus,170
skill,170
years,167
hidden,167
expect,166
pick,166
certain,166
turn,165
etc,165
free,164
abilities,163
gives,162
gets,162
despite,162
horror,162
others,161
seems,161
runs,161
looks,160
set,159
plot,159
choices,159
ways,159
ones,158
strategy,158
cats,158
yourself,157
everyone,157
learn,157
cat,156
idea,156
funny,155
fans,155
moments,154
days,153
atmosphere,153
recommended,152
classic,152
