word,count
boring,668
slop,443
refund,403
waste,375
shit,374
terrible,348
worse,336
worst,301
pvp,287
trash,270
unplayable,254
poor,242
garbage,238
crashes,237
stupid,226
locked,223
anymore,219
cash,218
poorly,205
sucks,200
awful,197
horrible,185
servers,183
fucking,172
amazon,158
killed,157
sorry,153
gamers,148
unfinished,144
disappointing,144
dollars,134
randomly,133
generative,132
bother,128
lazy,125
banned,120
crap,118
fuck,118
ruined,116
crashing,108
meh,107
response,106
fake,103
refunded,103
asset,101
stellaris,100
scam,100
removed,97
anti,94
wasted,91
paradox,90
toxic,87
gen,83
matchmaking,81
cheaters,80
wasting,79
marketing,78
bugged,77
inzoi,76
log,74
genai,73
flip,72
premium,71
stormgate,71
raid,71
cheat,68
ban,68
bag,67
laggy,67
thief,67
tanks,66
public,65
badly,65
rec,65
lobbies,62
greedy,61
spam,60
excuse,60
port,59
hardly,58
shitty,58
mediocre,58
chore,57
advertised,57
soulless,57
uninstalled,57
cheating,55
euros,55
freezes,55
launched,55
ops,55
usd,54
wtf,54
monetization,54
deleted,53
meaningless,53
disappointment,53
oven,53
faith,52
accounts,52
msc,51
advertisement,51
login,51
thinks,50
network,50
waited,49
loadout,49
sc2,48
lame,48
lackluster,47
sign,47
roblox,47
disgusting,46
uninteresting,45
restarting,45
existent,45
uninstalling,45
install,44
pile,44
peony,44
claim,43
portion,43
refunding,43
elsewhere,43
chronicle,42
slog,41
atrocious,41
uninstall,41
baked,40
launcher,40
zoi,40
heartopia,40
shutting,40
ginka,40
stated,39
krafton,39
scaling,38
ignored,38
abysmal,38
win64,38
demos,38
attitude,38
stanley,38
parable,38
walked,37
disclosed,37
forums,37
bullshit,36
blatant,36
supposedly,36
miserable,35
disclosure,35
paywall,35
microtransactions,35
promised,35
valve,35
embark,35
predatory,35
advertisements,35
advertising,34
bo7,34
foreign,33
severely,33
upset,33
pod,33
requested,33
restarted,33
moss,33
application,32
nonsensical,32
censorship,32
qra,32
lvl,32
rarity,32
incorrectly,32
crisis,32
lacked,31
glitched,31
disappears,31
downloads,31
ripped,31
pathetic,31
templates,31
taxi,31
bo6,31
horribly,30
desync,30
sexual,30
publisher,30
infinitecraft,30
dudes,30
warzone,30
cheats,29
practices,29
funding,29
stash,29
rigged,29
headache,28
worthless,28
insult,28
indication,28
extract,28
secondly,28
restrictions,28
tarkov,28
downloading,27
blizzard,27
scummy,27
locks,27
utter,27
delay,26
pocket,26
ruining,26
currencies,26
integrity,26
skeleton,26
wikipedia,25
attempted,25
org,25
microtransaction,25
unfun,25
monitors,25
disconnect,24
emails,24
foot,24
greed,24
frost,24
cradles,24
dogshit,23
lagging,23
unethical,23
pasted,23
placeholder,23
render,23
conscience,23
slightest,23
consumer,23
freeze,23
satsuma,22
censored,22
theft,22
interceptors,22
streamed,22
posting,22
moderation,22
irrelevant,22
disclose,22
holders,22
supporter,22
pretending,21
riddled,21
deleting,21
blatantly,21
slapped,21
kits,21
exploits,21
poc,21
atri,21
afaik,21
marketed,20
shower,20
ignores,20
horrid,20
plague,20
disabled,20
drifter,20
sellmyapp,20
ryzen,20
apple,20
elephants,20
mmmm,20
yusano,20
snes,20
connects,20
pinned,20
embarrassed,19
bedroom,19
disaster,19
childish,19
bans,19
risking,19
infested,19
symptoms,19
tractor,18
refused,18
electricity,18
unusable,18
shutdown,18
glaring,18
covering,18
steamdb,18
weirdo,18
detected,18
waist,17
alas,17
ported,17
screwed,17
censoring,17
sore,17
reinstall,17
