word,count
fun,10923
good,10571
great,6441
story,5939
experience,5302
love,5247
gameplay,4631
little,3758
because,3443
through,3396
recommend,3240
think,3231
rather,3216
best,3004
better,2901
bit,2881
different,2866
pretty,2862
nice,2814
each,2753
worth,2740
world,2735
few,2717
mechanics,2691
need,2598
many,2572
long,2490
overall,2482
characters,2439
without,2412
easy,2383
enough,2366
combat,2359
back,2343
those,2343
horror,2340
character,2337
real,2317
enjoy,2305
made,2298
work,2262
design,2176
simple,2143
may,2139
take,2115
makes,2112
far,2102
system,2100
know,2096
short,2081
give,2055
use,2051
find,2046
cool,2045
off,2038
keep,2009
making,1994
hard,1988
actually,1967
own,1952
interesting,1947
say,1920
life,1913
amazing,1874
once,1865
graphics,1860
early,1852
friends,1850
style,1848
bad,1840
right,1818
music,1811
looking,1810
price,1808
especially,1803
content,1794
art,1791
level,1752
try,1751
end,1742
definitely,1732
unique,1704
run,1703
should,1702
before,1695
since,1677
sense,1640
atmosphere,1620
narrative,1617
quite,1616
going,1595
full,1572
another,1558
times,1548
down,1538
add,1525
progression,1520
small,1517
mode,1512
instead,1508
point,1504
again,1480
hope,1479
buy,1474
free,1473
building,1462
sometimes,1459
look,1458
part,1444
review,1442
ever,1439
both,1417
steam,1407
getting,1393
visual,1385
having,1358
between,1356
genre,1355
action,1347
enjoyed,1346
enemies,1346
bugs,1341
systems,1339
devs,1317
start,1312
levels,1308
sure,1302
simulator,1296
dev,1284
two,1279
issues,1278
needs,1278
perfect,1272
wish,1270
next,1269
itself,1268
main,1268
future,1259
kind,1252
depth,1250
yet,1249
items,1237
put,1228
puzzles,1228
day,1224
single,1222
already,1201
cute,1192
often,1191
highly,1185
super,1182
potential,1181
based,1177
access,1177
found,1175
difficulty,1174
might,1168
help,1160
works,1152
solid,1150
done,1150
able,1148
big,1142
absolutely,1131
space,1131
build,1130
used,1121
updates,1118
puzzle,1114
moments,1113
trying,1106
less,1106
come,1102
satisfying,1101
stuff,1093
survival,1092
engaging,1084
sound,1084
wait,1082
almost,1076
tension,1065
core,1058
forward,1055
multiple,1053
enjoyable,1048
progress,1032
store,1028
challenge,1026
developer,1026
multiplayer,1022
others,1019
https,1019
punk,1018
map,1015
strategy,1013
variety,1012
fast,1007
loop,1005
high,996
turn,996
yes,994
idea,992
offers,991
during,990
said,982
clear,979
felt,978
support,977
awesome,972
please,968
achievements,966
must,963
beautiful,959
dlc,958
choices,955
elements,946
probably,940
fan,936
community,934
becomes,932
become,931
certain,929
indie,929
gives,927
sim,924
comes,923
voice,923
seems,918
thought,916
concept,909
complete,903
loved,903
management,897
top,896
decent,892
fmv,890
setting,889
gets,888
job,885
options,885
old,880
enemy,880
ending,878
away,874
slow,873
understand,872
screen,871
feeling,869
together,863
url,862
rating,861
lots,861
exploration,860
team,859
honestly,850
liked,848
using,847
looks,846
title,842
developers,841
set,839
open,836
she,832
change,830
place,825
type,817
doing,816
entire,814
least,814
added,812
etc,807
takes,806
visually,803
series,803
driven,802
move,799
version,798
favorite,798
emotional,796
unlock,796
com,794
events,794
difficult,793
years,792
create,792
sale,791
whole,789
amount,789
update,788
despite,785
audio,783
focus,777
option,772
endings,770
relaxing,764
features,764
second,762
fully,762
repetitive,760
click,760
