scope,sentiment,n_reviews,n_games,n_unique_words_after_filter,contrastive_filter,min_contrast_ratio,min_contrast_delta,visualization,output_csv,output_image
overall,negative,10187,626,338,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_overall_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_overall_negative.png
overall,positive,39966,623,7504,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_overall_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_overall_positive.png
Group 1 (Native AI),negative,6606,424,281,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_1_native_ai_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_1_native_ai_negative.png
Group 1 (Native AI),positive,24987,421,5825,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_1_native_ai_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_1_native_ai_positive.png
Group 2 (AI Added - Historic),negative,590,14,354,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_2_ai_added_historic_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_2_ai_added_historic_negative.png
Group 2 (AI Added - Historic),positive,480,6,179,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_2_ai_added_historic_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_2_ai_added_historic_positive.png
Group 2 (AI Added - Recent),negative,2124,101,117,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_2_ai_added_recent_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_2_ai_added_recent_negative.png
Group 2 (AI Added - Recent),positive,6646,101,2779,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_2_ai_added_recent_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_2_ai_added_recent_positive.png
Group 3 (Control / No AI),negative,867,101,17,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_3_control_no_ai_negative.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_3_control_no_ai_negative.png
Group 3 (Control / No AI),positive,7853,101,2719,True,1.3,10,wordcloud,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/top_words_group_3_control_no_ai_positive.csv,/home/fabian/Desktop/BA/protocol_2026-02-21_prof_followup/outputs/wordcloud_group_3_control_no_ai_positive.png
